date,equity,index_close,holding
2025-03-17,1000000.0,3996.79,
2025-03-18,1000000.0,4007.72,000301
2025-03-19,984478.935698448,4010.17,000301
2025-03-20,982261.6407982262,3974.99,000301
2025-03-21,972283.8137472284,3914.7,000301
2025-03-24,967849.223946785,3934.85,000301
2025-03-25,975609.7560975611,3932.3,000301
2025-03-26,981152.9933481154,3919.36,000301
2025-03-27,976718.403547672,3932.41,000301
2025-03-28,960088.691796009,3915.17,000301
2025-03-31,919068.7361419068,3887.31,000301
2025-04-01,911308.2039911309,3887.68,000301
2025-04-02,914634.1463414634,3884.39,000301
2025-04-03,906873.6141906873,3861.5,000301
2025-04-07,828159.6452328159,3589.44,000301
2025-04-08,868070.953436807,3650.76,000301
2025-04-09,888026.6075388027,3686.79,000301
2025-04-10,888026.6075388027,3735.11,002091
2025-04-11,889326.792908552,3750.52,002091
2025-04-14,893227.3490178002,3759.14,002091
2025-04-15,888026.6075388027,3761.23,002091
2025-04-16,886726.4221690533,3772.82,002091
2025-04-17,888026.6075388027,3772.22,002091
2025-04-18,884126.0514295547,3772.52,002091
2025-04-21,893227.3490178002,3784.88,002091
2025-04-22,902328.6466060457,3783.95,002091
2025-04-23,915330.5003035387,3786.88,002091
2025-04-24,917930.8710430375,3784.36,002091
2025-04-25,916630.6856732882,3786.99,002091
2025-04-28,903628.8319757949,3781.62,002091
2025-04-29,907529.3880850429,3775.08,002091
2025-04-30,930932.7247405312,3770.57,002091
2025-05-06,940034.0223287764,3808.54,002091
2025-05-07,955636.2467657685,3831.63,601229
2025-05-08,955636.2467657685,3852.9,601229
2025-05-09,974858.8149478384,3846.16,601229
2025-05-12,974858.8149478384,3890.61,600873
2025-05-13,982930.3230752816,3896.26,600873
2025-05-14,985620.8257844293,3943.21,600873
2025-05-15,985620.8257844293,3907.2,600873
2025-05-16,994589.1681482549,3889.09,600873
2025-05-19,1000867.0078029326,3877.15,600873
2025-05-20,998176.5050937851,3898.17,600873
2025-05-21,995486.0023846372,3916.38,600873
2025-05-22,990104.9969663419,3913.86,600873
2025-05-23,995699.9635480318,3882.27,600873
2025-05-26,982647.7168348553,3860.11,600873
2025-05-27,989173.8401914435,3839.4,600873
2025-05-28,986376.9301814771,3836.24,600873
2025-05-29,984512.3235081661,3858.7,600873
2025-05-30,977053.8968149226,3840.23,600873
2025-06-03,981715.4134981998,3852.01,600873
2025-06-04,987309.2335181326,3868.74,601111
2025-06-05,988562.1640175211,3877.56,601111
2025-06-06,993573.886015075,3873.98,601111
2025-06-09,1002344.3995107944,3885.25,601111
2025-06-10,1013620.7740052907,3865.47,601111
2025-06-11,1007356.1215083483,3894.63,601111
2025-06-12,994826.8165144635,3892.2,601111
2025-06-13,974779.9285242477,3864.18,601111
2025-06-16,969768.2065266937,3873.8,601111
2025-06-17,978538.720022413,3870.38,601111
