date,equity,index_close,holding
2025-03-17,1000000.0,3996.79,
2025-03-18,1000000.0,4007.72,
2025-03-19,1000000.0,4010.17,
2025-03-20,1000000.0,3974.99,
2025-03-21,1000000.0,3914.7,
2025-03-24,1000000.0,3934.85,
2025-03-25,1000000.0,3932.3,
2025-03-26,1000000.0,3919.36,
2025-03-27,1000000.0,3932.41,
2025-03-28,1000000.0,3915.17,
2025-03-31,1000000.0,3887.31,002164
2025-04-01,972019.4647201946,3887.68,002164
2025-04-02,974452.5547445255,3884.39,002164
2025-04-03,944038.9294403892,3861.5,002164
2025-04-07,849148.4184914841,3589.44,002164
2025-04-08,785888.0778588807,3650.76,002164
2025-04-09,816301.7031630169,3686.79,002164
2025-04-10,843065.6934306568,3735.11,002164
2025-04-11,868613.1386861313,3750.52,002164
2025-04-14,899026.7639902675,3759.14,002164
2025-04-15,888077.8588807787,3761.23,002164
2025-04-16,867396.5936739658,3772.82,002164
2025-04-17,866180.0486618005,3772.22,002164
2025-04-18,860097.3236009732,3772.52,002164
2025-04-21,890510.9489051094,3784.88,002164
2025-04-22,873479.3187347931,3783.95,002164
2025-04-23,961070.5596107055,3786.88,002164
2025-04-24,931873.4793187347,3784.36,300871
2025-04-25,947476.9422282575,3786.99,300871
2025-04-28,910202.0030555082,3781.62,300871
2025-04-29,952678.0965314319,3775.08,300871
2025-04-30,931006.6202682055,3770.57,300871
2025-05-06,988652.7471283877,3808.54,300871
2025-05-07,1036329.9949074859,3831.63,300871
2025-05-08,987785.8880778586,3852.9,300871
2025-05-09,956578.9622588126,3846.16,300871
2025-05-12,968714.9889662195,3890.61,300871
2025-05-13,956145.5327335481,3896.26,300871
2025-05-14,986919.0290273296,3943.21,300871
2025-05-15,1090508.6855655517,3907.2,300871
2025-05-16,1032429.1291801049,3889.09,002165
2025-05-19,1009191.1745040254,3877.15,000965
2025-05-20,984696.2430840245,3898.17,000965
2025-05-21,979797.2568000247,3916.38,000965
2025-05-22,955302.325380024,3913.86,000965
2025-05-23,938155.8733860236,3882.27,000965
2025-05-26,950403.3390960239,3860.11,000965
2025-05-27,967549.7910900244,3839.4,000965
2025-05-28,957751.8185220241,3836.24,000965
2025-05-29,967549.7910900244,3858.7,000965
2025-05-30,950403.3390960239,3840.23,000965
2025-06-03,950403.3390960239,3852.01,000965
2025-06-04,984696.2430840245,3868.74,000965
2025-06-05,984696.2430840245,3877.56,002651
2025-06-06,952792.7746128258,3873.98,002651
2025-06-09,1048503.1800264219,3885.25,002651
2025-06-10,989007.5226071595,3865.47,605055
2025-06-11,1042771.5219397864,3894.63,605055
2025-06-12,994008.8248706596,3892.2,002190
2025-06-13,1093469.2645072083,3864.18,002190
2025-06-16,1114314.2668262457,3873.8,605136
2025-06-17,1096766.0106557538,3870.38,605136
2025-06-18,1077267.948244096,3874.97,605136
2025-06-19,1045096.1452648604,3843.09,605136
2025-06-20,1023648.2766120369,3846.64,605136
2025-06-23,1027547.8890943682,3857.9,605136
2025-06-24,1035347.1140590314,3904.03,605136
2025-06-25,1019748.6641297053,3960.07,605136
2025-06-26,1027547.8890943682,3946.02,605136
2025-06-27,1030472.598456117,3921.76,605136
2025-06-30,1048020.854626609,3936.08,605136
2025-07-01,1052895.3702295236,3942.76,605136
2025-07-02,1028522.7922149512,3943.68,605136
2025-07-03,1044121.2421442776,3968.07,605136
2025-07-04,1050945.5639883575,3982.2,605136
2025-07-07,1076293.0451235129,3965.17,605136
2025-07-08,1060694.5951941868,3998.45,605136
2025-07-09,1160134.7134936417,3991.4,605136
2025-07-10,1072393.4326411814,4010.02,002207
2025-07-11,1065291.4893786572,4014.81,002207
2025-07-14,1082336.1532087156,4017.67,002207
2025-07-15,1038304.1049810643,4019.06,002207
2025-07-16,1045406.0482435888,4007.2,002207
2025-07-17,1049667.2142011034,4034.49,002207
2025-07-18,1059609.9347686374,4058.55,002207
2025-07-21,1068132.2666836667,4085.61,002207
2025-07-22,1059609.9347686374,4118.96,002207
2025-07-23,1038304.1049810643,4119.77,002207
2025-07-24,1056769.1574636279,4149.04,002207
2025-07-25,1052507.9915061132,4127.16,002207
2025-07-28,1056769.1574636279,4135.82,002207
2025-07-29,1051087.6028536083,4152.02,002207
2025-07-30,1116425.4808688327,4151.24,002207
2025-07-31,1056769.1574636279,4075.59,605500
2025-08-01,1055695.2050678316,4054.93,605500
2025-08-04,1067508.6814215914,4070.7,605500
2025-08-05,1068582.633817388,4103.45,605500
2025-08-06,1058917.0622552205,4113.49,605500
2025-08-07,1050325.4430888495,4114.67,605500
2025-08-08,1059991.0146510168,4104.97,605500
2025-08-11,1066434.7290257951,4122.51,605500
2025-08-12,1064286.8242342025,4143.83,605500
