date,equity,index_close,holding
2025-03-17,1000000.0,3996.79,
2025-03-18,1000000.0,4007.72,
2025-03-19,1000000.0,4010.17,
2025-03-20,1000000.0,3974.99,
2025-03-21,1000000.0,3914.7,
2025-03-24,1000000.0,3934.85,
2025-03-25,1000000.0,3932.3,
2025-03-26,1000000.0,3919.36,
2025-03-27,1000000.0,3932.41,
2025-03-28,1000000.0,3915.17,
2025-03-31,1000000.0,3887.31,002164
2025-04-01,972019.4647201946,3887.68,002164
2025-04-02,974452.5547445255,3884.39,002164
2025-04-03,944038.9294403892,3861.5,002164
2025-04-07,849148.4184914841,3589.44,002164
2025-04-08,785888.0778588807,3650.76,002164
2025-04-09,816301.7031630169,3686.79,002164
2025-04-10,843065.6934306568,3735.11,002164
2025-04-11,868613.1386861313,3750.52,002164
2025-04-14,899026.7639902675,3759.14,002164
2025-04-15,888077.8588807787,3761.23,002164
2025-04-16,867396.5936739658,3772.82,002164
2025-04-17,866180.0486618005,3772.22,002164
2025-04-18,860097.3236009732,3772.52,002164
2025-04-21,890510.9489051094,3784.88,002164
2025-04-22,873479.3187347931,3783.95,002164
2025-04-23,961070.5596107055,3786.88,002164
2025-04-24,931873.4793187347,3784.36,002164
2025-04-25,946472.0194647202,3786.99,002164
2025-04-28,903892.9440389293,3781.62,002164
2025-04-29,993917.2749391727,3775.08,002164
2025-04-30,1093673.9659367397,3770.57,002164
2025-05-06,1143552.311435523,3808.54,002164
2025-05-07,1181265.206812652,3831.63,002164
2025-05-08,1181265.206812652,3852.9,002164
2025-05-09,1253041.3625304135,3846.16,002164
2025-05-12,1313868.6131386862,3890.61,002164
2025-05-13,1208029.1970802918,3896.26,002164
2025-05-14,1300486.618004866,3943.21,002164
2025-05-15,1205596.1070559612,3907.2,002164
2025-05-16,1189781.02189781,3889.09,002164
2025-05-19,1181265.206812652,3877.15,000965
2025-05-20,1152593.721210403,3898.17,000965
2025-05-21,1146859.4240899535,3916.38,000965
2025-05-22,1118187.9384877046,3913.86,000965
2025-05-23,1098117.8985661305,3882.27,000965
2025-05-26,1112453.6413672548,3860.11,000965
2025-05-27,1132523.681288829,3839.4,000965
2025-05-28,1121055.0870479296,3836.24,000965
2025-05-29,1132523.681288829,3858.7,000965
2025-05-30,1112453.6413672548,3840.23,000965
2025-06-03,1112453.6413672548,3852.01,000965
2025-06-04,1152593.721210403,3868.74,000965
2025-06-05,1152593.721210403,3877.56,000965
2025-06-06,1143992.2755297285,3873.98,000965
2025-06-09,1141125.1269695035,3885.25,000965
2025-06-10,1135390.8298490539,3865.47,000965
2025-06-11,1143992.2755297285,3894.63,000965
2025-06-12,1126789.3841683792,3892.2,000965
2025-06-13,1126789.3841683792,3864.18,000965
2025-06-16,1129656.532728604,3873.8,000965
2025-06-17,1115320.7899274798,3870.38,000965
2025-06-18,1080915.007204781,3874.97,000965
2025-06-19,1032029.1761878119,3843.09,000965
2025-06-20,1023404.9769439027,3846.64,000965
2025-06-23,1037778.6423504181,3857.9,000965
2025-06-24,1066525.9731634492,3904.03,000965
2025-06-25,1089523.8378138738,3960.07,000965
2025-06-26,1086649.1047325707,3946.02,000965
2025-06-27,1092398.5708951768,3921.76,000965
2025-06-30,1115396.4355456016,3936.08,000965
2025-07-01,1112521.7024642986,3942.76,000965
2025-07-02,1126895.367870814,3943.68,000965
2025-07-03,1138394.3001960265,3968.07,000965
2025-07-04,1118271.168626905,3982.2,000965
2025-07-07,1141269.0332773295,3965.17,000965
2025-07-08,1161392.1648464515,3998.45,000965
2025-07-09,1152767.965602542,3991.4,000965
2025-07-10,1198763.6949033916,4010.02,000965
2025-07-11,1319502.4843181218,4014.81,000965
2025-07-14,1239009.9580416346,4017.67,000965
2025-07-15,1362623.480537668,4019.06,000965
2025-07-16,1302254.0858303031,4007.2,000965
2025-07-17,1267757.2888546658,4034.49,000965
2025-07-18,1247634.157285544,4058.55,000965
2025-07-21,1256258.3565294535,4085.61,000965
2025-07-22,1293629.886586394,4118.96,000965
2025-07-23,1262007.8226920594,4119.77,000965
2025-07-24,1267757.2888546658,4149.04,000965
2025-07-25,1241884.691122938,4127.16,000965
2025-07-28,1250508.8903668472,4135.82,000965
2025-07-29,1259133.0896107564,4152.02,000965
2025-07-30,1218886.8264725134,4151.24,000965
2025-07-31,1193014.2287407855,4075.59,000965
2025-08-01,1187264.7625781791,4054.93,000965
2025-08-04,1201638.4279846945,4070.7,000965
2025-08-05,1204513.1610659978,4103.45,000965
2025-08-06,1201638.4279846945,4113.49,000965
2025-08-07,1201638.4279846945,4114.67,000965
2025-08-08,1210262.627228604,4104.97,000965
2025-08-11,1290755.1535050909,4122.51,000965
