date,equity,index_close,holding
2025-03-17,1000000.0,3996.79,
2025-03-18,1000000.0,4007.72,
2025-03-19,1000000.0,4010.17,
2025-03-20,1000000.0,3974.99,
2025-03-21,1000000.0,3914.7,
2025-03-24,1000000.0,3934.85,
2025-03-25,1000000.0,3932.3,
2025-03-26,1000000.0,3919.36,
2025-03-27,1000000.0,3932.41,
2025-03-28,1000000.0,3915.17,
2025-03-31,1000000.0,3887.31,002164
2025-04-01,972019.4647201946,3887.68,002164
2025-04-02,974452.5547445255,3884.39,002164
2025-04-03,944038.9294403892,3861.5,002164
2025-04-07,849148.4184914841,3589.44,002164
2025-04-08,785888.0778588807,3650.76,002164
2025-04-09,816301.7031630169,3686.79,002164
2025-04-10,843065.6934306568,3735.11,002164
2025-04-11,868613.1386861313,3750.52,002164
2025-04-14,899026.7639902675,3759.14,002164
2025-04-15,888077.8588807787,3761.23,002164
2025-04-16,867396.5936739658,3772.82,002164
2025-04-17,866180.0486618005,3772.22,002164
2025-04-18,860097.3236009732,3772.52,002164
2025-04-21,890510.9489051094,3784.88,002164
2025-04-22,873479.3187347931,3783.95,002164
2025-04-23,961070.5596107055,3786.88,002923
2025-04-24,970115.929583512,3784.36,002923
2025-04-25,924135.2988884115,3786.99,002923
2025-04-28,884184.914841849,3781.62,002923
2025-04-29,877400.8873622441,3775.08,002923
2025-04-30,893230.2848146555,3770.57,002923
2025-05-06,927150.4222126805,3808.54,002923
2025-05-07,930919.3263680165,3831.63,002923
2025-05-08,937703.3538476216,3852.9,002923
2025-05-09,913582.3672534706,3846.16,002923
2025-05-12,909059.6822670673,3890.61,002923
2025-05-13,924889.0797194787,3896.26,002923
2025-05-14,947502.5046514954,3943.21,002923
2025-05-15,958809.2171175039,3907.2,002923
2025-05-16,1007804.9711368731,3889.09,002165
2025-05-19,985121.257960159,3877.15,000965
2025-05-20,961210.5478154947,3898.17,000965
2025-05-21,956428.4057865621,3916.38,000965
2025-05-22,932517.6956418981,3913.86,000965
2025-05-23,915780.1985406333,3882.27,000965
2025-05-26,927735.5536129653,3860.11,000965
2025-05-27,944473.0507142302,3839.4,000965
2025-05-28,934908.7666563645,3836.24,000965
2025-05-29,944473.0507142302,3858.7,000965
2025-05-30,927735.5536129653,3840.23,000965
2025-06-03,927735.5536129653,3852.01,000965
2025-06-04,961210.5478154947,3868.74,000965
2025-06-05,961210.5478154947,3877.56,002651
2025-06-06,930067.9994186704,3873.98,002651
2025-06-09,1023495.6446091433,3885.25,002651
2025-06-10,965419.000301552,3865.47,605055
2025-06-11,1017900.6905834316,3894.63,605055
2025-06-12,970301.0180021919,3892.2,002190
2025-06-13,1067389.2564721534,3864.18,002190
2025-06-16,1087737.090882026,3873.8,605136
2025-06-17,1070607.37291538,3870.38,605136
2025-06-18,1051574.3529524398,3874.97,605136
2025-06-19,1020169.8700135886,3843.09,605136
2025-06-20,999233.5480543546,3846.64,605136
2025-06-23,1003040.1520469425,3857.9,605136
2025-06-24,1010653.3600321184,3904.03,605136
2025-06-25,995426.9440617666,3960.07,605136
2025-06-26,1003040.1520469425,3946.02,605136
2025-06-27,1005895.1050413835,3921.76,605136
2025-06-30,1023024.8230080296,3936.08,605136
2025-07-01,1027783.0779987647,3942.76,605136
2025-07-02,1003991.8030450896,3943.68,605136
2025-07-03,1019218.2190154417,3968.07,605136
2025-07-04,1025879.7760024705,3982.2,605136
2025-07-07,1050622.7019542926,3965.17,605136
2025-07-08,1035396.2859839407,3998.45,300340
2025-07-09,982169.7453083594,3991.4,300340
2025-07-10,976006.6721775027,4010.02,300340
2025-07-11,993375.3328190079,4014.81,300340
2025-07-14,997857.5678232674,4017.67,300340
2025-07-15,953595.497156205,4019.06,300340
2025-07-16,946872.1446498157,4007.2,300340
2025-07-17,964801.0846668538,4034.49,300340
2025-07-18,976006.6721775027,4058.55,300340
2025-07-21,976006.6721775027,4085.61,300340
2025-07-22,992254.7740679432,4118.96,300340
2025-07-23,944070.7477721537,4119.77,300340
2025-07-24,956396.8940338673,4149.04,300340
2025-07-25,947432.4240253483,4127.16,300340
2025-07-28,977127.2309285675,4135.82,300340
2025-07-29,970403.8784221781,4152.02,300340
2025-07-30,916617.0583710644,4151.24,301388
2025-07-31,901246.955258135,4075.59,301388
2025-08-01,889230.3291880265,4054.93,301388
2025-08-04,892024.8933903774,4070.7,301388
2025-08-05,900129.1295771948,4103.45,301388
2025-08-06,892583.8062308474,4113.49,301388
2025-08-07,879728.8109000337,4114.67,301388
2025-08-08,890907.067709437,4104.97,301388
2025-08-11,904600.432300956,4122.51,301388
2025-08-12,897055.1089546088,4143.83,301388
2025-08-13,891186.5241296722,4176.58,301388
