date,equity,index_close,holding
2025-03-17,1000000.0,3996.79,
2025-03-18,1000000.0,4007.72,688334
2025-03-19,1000559.5970900949,4010.17,688334
2025-03-20,986010.0727476218,3974.99,688334
2025-03-21,973698.9367655284,3914.7,688334
2025-03-24,975377.728035814,3934.85,688334
2025-03-25,974818.130945719,3932.3,688334
2025-03-26,959709.0095131502,3919.36,688334
2025-03-27,948517.0677112477,3932.41,688334
2025-03-28,955791.8298824845,3915.17,688334
2025-03-31,947957.4706211527,3887.31,688334
2025-04-01,962506.9949636259,3887.68,688334
2025-04-02,971460.5484051481,3884.39,688334
2025-04-03,966424.1745942921,3861.5,688334
2025-04-07,844991.6060436484,3589.44,688334
2025-04-08,846670.3973139338,3650.76,688334
2025-04-09,866256.2954672634,3686.79,688334
2025-04-10,899272.5237828762,3735.11,688334
2025-04-11,890878.5674314491,3750.52,688334
2025-04-14,900391.7179630665,3759.14,688334
2025-04-15,893116.9557918299,3761.23,688334
2025-04-16,886961.3878007834,3772.82,688334
2025-04-17,888640.1790710686,3772.22,688334
2025-04-18,889759.373251259,3772.52,688334
2025-04-21,899272.5237828762,3784.88,688334
2025-04-22,902070.5092333519,3783.95,688334
2025-04-23,911024.0626748739,3786.88,688334
2025-04-24,912702.8539451592,3784.36,688334
2025-04-25,918858.4219362059,3786.99,688334
2025-04-28,918858.4219362059,3781.62,688334
2025-04-29,926133.1841074425,3775.08,688334
2025-04-30,925013.9899272523,3770.57,688334
2025-05-06,948517.0677112477,3808.54,688334
2025-05-07,939003.9171796306,3831.63,688334
2025-05-08,944040.2909904867,3852.9,688334
2025-05-09,936765.5288192498,3846.16,688334
2025-05-12,944040.2909904867,3890.61,688334
2025-05-13,939003.9171796306,3896.26,688334
2025-05-14,931729.1550083938,3943.21,688334
2025-05-15,925573.5870173472,3907.2,688334
2025-05-16,925013.9899272523,3889.09,688334
2025-05-19,930050.3637381084,3877.15,688334
2025-05-20,945719.082260772,3898.17,688334
2025-05-21,953553.4415221041,3916.38,688334
2025-05-22,939003.9171796306,3913.86,688334
2025-05-23,929490.7666480133,3882.27,688334
2025-05-26,937325.1259093451,3860.11,688334
2025-05-27,930609.9608282037,3839.4,688334
2025-05-28,926133.1841074425,3836.24,688334
2025-05-29,946278.6793508673,3858.7,688334
2025-05-30,945719.082260772,3840.23,688334
2025-06-03,946838.2764409626,3852.01,688334
2025-06-04,945719.082260772,3868.74,688334
2025-06-05,942921.0968102965,3877.56,688334
2025-06-06,939576.244697235,3873.98,688334
2025-06-09,946912.2754366131,3885.25,688334
2025-06-10,943526.4150953616,3865.47,688334
2025-06-11,949169.5156641139,3894.63,688334
2025-06-12,943526.4150953616,3892.2,688334
2025-06-13,958198.4765741174,3864.18,688334
2025-06-16,957069.856460367,3873.8,688334
2025-06-17,950298.1357778645,3870.38,688334
2025-06-18,953683.9961191155,3874.97,688334
2025-06-19,929982.9737303568,3843.09,688334
2025-06-20,928854.3536166062,3846.64,688334
2025-06-23,935061.7642422335,3857.9,688334
2025-06-24,950862.4458347396,3904.03,688334
2025-06-25,955376.9262897413,3960.07,688334
2025-06-26,950298.1357778645,3946.02,688334
2025-06-27,957069.856460367,3921.76,688334
2025-06-30,969484.6777116217,3936.08,688334
2025-07-01,970613.2978253721,3942.76,688334
2025-07-02,970613.2978253721,3943.68,688334
2025-07-03,969484.6777116217,3968.07,688334
2025-07-04,961584.3369153686,3982.2,688334
2025-07-07,976820.7084509995,3965.17,688334
2025-07-08,978513.6386216253,3998.45,688334
2025-07-09,980206.5687922508,3991.4,688334
2025-07-10,981899.4989628763,4010.02,688334
2025-07-11,986413.9794178781,4014.81,688334
2025-07-14,1010679.3118635125,4017.67,688334
2025-07-15,996007.2503847568,4019.06,688334
2025-07-16,1000521.7308397585,4007.2,688334
2025-07-17,1010115.0018066372,4034.49,688334
2025-07-18,1019143.9627166408,4058.55,688334
2025-07-21,1078960.8287454136,4085.61,688334
2025-07-22,1156835.6165941935,4118.96,688334
2025-07-23,1089118.4097691674,4119.77,688334
2025-07-24,1081218.0689729145,4149.04,688334
2025-07-25,1068238.9376647845,4127.16,688334
2025-07-28,1072189.108062911,4135.82,688334
2025-07-29,1073882.0382335368,4152.02,688334
2025-07-30,1070496.1778922852,4151.24,688334
2025-07-31,1043973.6052191502,4075.59,688334
2025-08-01,1049052.3957310272,4054.93,688334
2025-08-04,1054695.4962997793,4070.7,688334
2025-08-05,1058645.666697906,4103.45,688334
2025-08-06,1059774.2868116563,4113.49,688334
2025-08-07,1058081.3566410309,4114.67,688334
