date,equity,index_close,holding
2025-03-17,1000000.0,3996.79,
2025-03-18,1000000.0,4007.72,
2025-03-19,1000000.0,4010.17,
2025-03-20,1000000.0,3974.99,
2025-03-21,1000000.0,3914.7,
2025-03-24,1000000.0,3934.85,
2025-03-25,1000000.0,3932.3,
2025-03-26,1000000.0,3919.36,
2025-03-27,1000000.0,3932.41,
2025-03-28,1000000.0,3915.17,
2025-03-31,1000000.0,3887.31,002164
2025-04-01,972019.4647201946,3887.68,002164
2025-04-02,974452.5547445255,3884.39,000678
2025-04-03,927972.3910454144,3861.5,000678
2025-04-07,835012.0636471917,3589.44,002278
2025-04-08,839880.9386538808,3650.76,002278
2025-04-09,864225.3136873266,3686.79,002342
2025-04-10,870185.4882644806,3735.11,002342
2025-04-11,868198.7634054293,3750.52,002342
2025-04-14,901973.0860093018,3759.14,002342
2025-04-15,870185.4882644805,3761.23,603677
2025-04-16,876158.250327542,3772.82,603677
2025-04-17,913373.1524127704,3772.22,002342
2025-04-18,1004277.5893827619,3772.52,002342
2025-04-21,1054058.5905806143,3784.88,002342
2025-04-22,1006441.9807391902,3783.95,002342
2025-04-23,1028085.8943034739,3786.88,002342
2025-04-24,973976.1103927647,3784.36,002342
2025-04-25,956660.9795413378,3786.99,002342
2025-04-28,978304.8931056213,3781.62,301256
2025-04-29,999275.0818674382,3775.08,301256
2025-04-30,969187.4197309186,3770.57,002549
2025-05-06,1066106.1617040106,3808.54,002549
2025-05-07,1097633.9452374259,3831.63,601086
2025-05-08,1142571.9203473204,3852.9,601086
2025-05-09,1052695.9701275313,3846.16,601008
2025-05-12,1052695.9701275313,3890.61,601008
2025-05-13,1158380.0143726182,3896.26,605188
2025-05-14,1231507.3894793983,3943.21,605188
2025-05-15,1282378.6069449845,3907.2,002719
2025-05-16,1294049.8570650753,3889.09,002719
2025-05-19,1318851.2635702684,3877.15,002719
2025-05-20,1340734.8575454387,3898.17,002719
2025-05-21,1298426.5758601094,3916.38,002719
2025-05-22,1270707.356824894,3913.86,002719
2025-05-23,1247364.8565847122,3882.27,002915
2025-05-26,1301459.7610794571,3860.11,002915
2025-05-27,1295095.654668311,3839.4,002165
2025-05-28,1228593.789023898,3836.24,002165
2025-05-29,1193652.1308039525,3858.7,600396
2025-05-30,1170915.8997410203,3840.23,600396
2025-06-03,1178494.6434286642,3852.01,002915
2025-06-04,1191173.4454020765,3868.74,002915
2025-06-05,1197512.8463887826,3877.56,002651
2025-06-06,1158714.2690539446,3873.98,002651
2025-06-09,1275110.0010584586,3885.25,603332
2025-06-10,1402932.7640007492,3865.47,603332
2025-06-11,1543226.0404008243,3894.63,603332
2025-06-12,1525118.5010426661,3892.2,603332
2025-06-13,1373000.7384063692,3864.18,603332
2025-06-16,1390340.5869970352,3873.8,603332
2025-06-17,1313887.618210917,3870.38,000695
2025-06-18,1249270.1943644786,3874.97,000695
2025-06-19,1181715.6148886564,3843.09,603607
2025-06-20,1151720.4159611845,3846.64,603607
2025-06-23,1147911.5018116643,3857.9,603333
2025-06-24,1152460.6887409047,3904.03,603333
2025-06-25,1138813.1279531834,3960.07,002639
2025-06-26,1127604.337323723,3946.02,002639
2025-06-27,1136571.3698272912,3921.76,300804
2025-06-30,1122663.7758817389,3936.08,300804
2025-07-01,1136999.2957948467,3942.76,002250
2025-07-02,1098249.54400991,3943.68,002250
2025-07-03,1114565.2289719887,3968.07,603093
2025-07-04,1149112.220317157,3982.2,603093
2025-07-07,1189322.6528664513,3965.17,002250
2025-07-08,1191516.975104212,3998.45,002250
2025-07-09,1165185.1082510804,3991.4,002878
2025-07-10,1143565.4626878279,4010.02,002878
2025-07-11,1177701.7451561212,4014.81,002490
2025-07-14,1183922.0008523683,4017.67,002490
2025-07-15,1144527.04810947,4019.06,300875
2025-07-16,1152475.15261023,4007.2,300875
2025-07-17,1203570.1101151172,4034.49,300340
2025-07-18,1217548.8570386379,4058.55,300340
2025-07-21,1217548.8570386379,4085.61,002579
2025-07-22,1188923.1002117107,4118.96,002579
2025-07-23,1168885.0704328616,4119.77,002579
2025-07-24,1172701.8380097852,4149.04,002579
2025-07-25,1161251.5352790144,4127.16,002579
2025-07-28,1200373.4029424817,4135.82,002579
2025-07-29,1197510.827259789,4152.02,600744
2025-07-30,1146587.8702706897,4151.24,600744
2025-07-31,1130161.1099516253,4075.59,605500
2025-08-01,1129012.57223826,4054.93,605500
2025-08-04,1141646.48708528,4070.7,601003
2025-08-05,1134221.1440798473,4103.45,601003
2025-08-06,1152784.501593429,4113.49,601003
2025-08-07,1124939.465323056,4114.67,601003
2025-08-08,1136077.4798312054,4104.97,600826
2025-08-11,1152708.0742294663,4122.51,600826
