stock_code,entry_date,exit_date,entry_price,exit_price,return,hold_days,exit_reason
002164,2025-03-31,2025-05-19,8.22,9.71,0.18126520681265207,31,heat_and_dif
000965,2025-05-19,2025-09-10,4.12,4.32,0.051317421321375026,81,heat_and_dif
600410,2025-09-10,2025-09-15,18.56,19.55,0.05334051724137942,3,heat_and_dif
603626,2025-09-15,2025-09-17,13.3,16.09,0.2097744360902255,2,heat_and_dif
688256,2025-09-17,2025-10-20,1442.0,1281.12,-0.11156726768377262,17,heat_and_dif
600376,2025-10-20,2025-10-21,6.39,6.45,0.009389671361502426,1,heat_and_dif
600170,2025-10-21,2026-03-19,2.91,2.85,-0.020618556701030945,99,end_of_period
