stock_code,entry_date,exit_date,entry_price,exit_price,return,hold_days,exit_reason
002164,2025-03-31,2025-05-22,8.22,9.17,0.11557177615571766,34,death_cross_after_golden
603086,2025-05-22,2025-06-23,8.76,9.39,0.07191780821917818,21,death_cross_after_golden
603333,2025-06-23,2025-07-10,7.57,7.8,0.030383091149273258,13,death_cross_after_golden
002207,2025-07-10,2025-08-15,7.55,7.35,-0.026490066225165587,26,death_cross_after_golden
603367,2025-08-15,2025-10-31,33.75,21.21,-0.36560175943156814,49,death_cross_after_golden
002513,2025-10-31,2025-11-19,7.81,9.65,0.23559539052496808,13,death_cross_after_golden
601611,2025-11-19,2025-12-11,12.07,11.83,-0.019066716889978425,16,death_cross_after_golden
000407,2025-12-11,2026-01-08,4.63,4.94,0.06695464362850975,18,death_cross_after_golden
000735,2026-01-08,2026-03-19,8.64,7.23,-0.16319444444444445,44,end_of_period
