index,indicator,MAE,MAPE%,bias,corr,coverage_1x%,n
上证指数,ATR_ratio(5),0.7142162253310018,44.260044578277565,0.11165099925056207,0.6576370801556216,63.589807644266806,8006
上证指数,ATR_ratio(10),0.733135770528684,46.07093625391864,0.11391464816897888,0.6234947716360251,64.77940257467817,8001
上证指数,ATR_ratio(14),0.7457401400525197,47.32897167887877,0.11725413279979992,0.6037500501459498,65.57459047142679,7997
上证指数,ATR_ratio(20),0.7612513077211862,48.88345051034424,0.12246274558878739,0.5794863252667244,65.86159429358027,7991
上证指数,ADR(14),0.7249901212954858,42.95605765155345,0.0028233337501563103,0.5865937409474816,59.909966237339006,7997
上证指数,ADR(20),0.7288396571142536,43.736560590299064,0.004542197472156177,0.5739297256266888,60.63070954824177,7991
上证指数,HV_daily(10),0.7642919824212888,38.89236167498796,-0.38164693007513373,0.5848357214153664,34.7125,8000
上证指数,HV_daily(20),0.7527816638897574,38.69219387064388,-0.3312644339885832,0.5565063295679559,37.972465581977474,7990
上证指数,HV_daily(60),0.7633149280475207,41.913350876856846,-0.2608272243094654,0.5144480653900081,44.17610062893082,7950
深证成指,ATR_ratio(5),0.7816693153423289,53.3785272973453,0.10687596201899052,0.6628363692206801,62.006496751624184,8004
深证成指,ATR_ratio(10),0.8033523690461307,57.72506320868778,0.10747773471683959,0.6296916512221614,63.507938492311546,7999
深证成指,ATR_ratio(14),0.8193606504065041,60.33525598348126,0.10836612883051909,0.6085833109444945,63.877423389618514,7995
深证成指,ATR_ratio(20),0.8399656027037178,63.39835291551369,0.11028696958317687,0.5824615611131405,64.31343096758042,7989
深证成指,ADR(14),0.8009153345841151,54.27603087864359,-0.0003608630393996225,0.5979047846775574,58.98686679174484,7995
深证成指,ADR(20),0.8086630366754287,56.75417248724045,-0.00021121542120415573,0.5899524415295241,59.306546501439485,7989
深证成指,HV_daily(10),0.8759424924221826,45.16304846781182,-0.5396237322186087,0.5496362302524972,31.97049262315579,7998
深证成指,HV_daily(20),0.852954902540639,47.83726938757615,-0.4891931716770693,0.5413985903442025,35.22784176264396,7988
深证成指,HV_daily(60),0.8661065916216222,53.05654603655794,-0.4187295680140441,0.4864227448430866,41.38147961751384,7948
创业板指,ATR_ratio(5),0.7792091668843041,39.99960362111265,0.11451504309219118,0.6038745360341263,61.97440585009141,3829
创业板指,ATR_ratio(10),0.7837105648535565,40.58347109312613,0.11448336820083682,0.5866439096585384,62.89225941422594,3824
创业板指,ATR_ratio(14),0.7946333246073298,41.33733982714063,0.11637767015706808,0.5695594881137616,63.324607329842934,3820
创业板指,ATR_ratio(20),0.8113560304142632,42.42901548016994,0.1192104090194022,0.544333700731419,63.843733613004716,3814
创业板指,ADR(14),0.7764492146596859,38.55625762279957,0.003424031413612564,0.5529737518594273,57.80104712041884,3820
创业板指,ADR(20),0.7778771893025695,38.865909008804195,0.005841373885684316,0.5458808880248228,58.36392239119035,3814
创业板指,HV_daily(10),0.8433023682136735,34.84827975746943,-0.5099772829751542,0.5149825194912002,33.036882029819516,3823
创业板指,HV_daily(20),0.8192270695426248,33.926280136967385,-0.4750207333181129,0.5056689792101722,35.90348806713873,3813
创业板指,HV_daily(60),0.8279463059865045,35.024231458106215,-0.431045526312517,0.444452292983393,40.07421150278293,3773
上证50,ATR_ratio(5),0.6534055514296324,40.91468019355338,0.10903611214259189,0.6659641556145955,63.90642406238396,5386
上证50,ATR_ratio(10),0.6618371678126742,41.915757236654564,0.11132094406244193,0.6494110709994504,64.98792046088087,5381
上证50,ATR_ratio(14),0.671115491909987,42.80233347097266,0.11342194532267062,0.635184164302743,65.25943834852148,5377
上证50,ATR_ratio(20),0.6853971141314467,44.00096695735735,0.11598862409234778,0.6161303319076845,65.55576242785328,5371
上证50,ADR(14),0.6470828342942161,38.570085124328166,0.0024726799330481667,0.6258975967732388,59.38255532824995,5377
上证50,ADR(20),0.6544506609569912,39.23583008790187,0.002608210761496928,0.6136959427654782,60.45429156581642,5371
上证50,HV_daily(10),0.7136981929244275,35.31778947602243,-0.4656269534840169,0.5802483431635258,30.20446096654275,5380
上证50,HV_daily(20),0.6901692800382686,33.9452433979782,-0.43561084131291056,0.5877091589813008,32.849162011173185,5370
上证50,HV_daily(60),0.702097444341813,35.351566589220006,-0.40029714254596144,0.539128638606684,37.74859287054409,5330
沪深300,ATR_ratio(5),0.6486176161773284,41.13400655765595,0.10482535485125413,0.6735730909231968,63.34824032665759,5143
沪深300,ATR_ratio(10),0.6547521798365122,41.89406526819299,0.10439001557026079,0.6573864993287033,64.44141689373298,5138
沪深300,ATR_ratio(14),0.6630654850019478,42.67013838881413,0.10496501753019088,0.6436302708215079,65.03700818075575,5134
沪深300,ATR_ratio(20),0.6768528081123244,43.77554049216983,0.10541092043681746,0.6240569264214548,65.09360374414976,5128
沪深300,ADR(14),0.6433072458122322,38.82834349098449,0.0006558239189715637,0.6292676265858079,59.09622126996494,5134
沪深300,ADR(20),0.6496171216848673,39.455789178769244,0.00062815912636505,0.6190736320837047,59.78939157566303,5128
沪深300,HV_daily(10),0.6999845200639185,35.328604100401485,-0.4340460050794067,0.5814074611820547,32.450846797741875,5137
沪深300,HV_daily(20),0.6779767774763351,34.306589857734906,-0.4037376672482677,0.5929088860166613,34.19153501072752,5127
沪深300,HV_daily(60),0.6908391132968652,35.895422628399494,-0.3645673158095349,0.5417224587734916,39.49282484765087,5087
中证500,ATR_ratio(5),0.7383981139412794,41.44504837626736,0.09611784950418045,0.651312886948917,62.39548901419405,5143
中证500,ATR_ratio(10),0.7515827170105099,42.467637726863906,0.0936659011288439,0.6313407960953196,63.44881276761386,5138
中证500,ATR_ratio(14),0.7633317491234904,43.27647524804947,0.09278913128165173,0.6171151076062193,63.86832878846903,5134
中证500,ATR_ratio(20),0.7781437597503901,44.287698380517014,0.09173502340093603,0.597830227231363,63.88455538221529,5128
中证500,ADR(14),0.748113186599143,40.72837156109734,-0.00019390338917024452,0.5975220424696661,59.23256719906506,5134
中证500,ADR(20),0.7582694617784712,41.37592926729627,-0.0001584243369734776,0.5884772276495117,60.06240249609984,5128
中证500,HV_daily(10),0.7919637502673319,36.40609637089741,-0.4445037151710102,0.5618461667267183,35.56550515865291,5137
中证500,HV_daily(20),0.7651169087658488,35.18124634562614,-0.4029225185511742,0.5688391241611626,39.32124049151551,5127
中证500,HV_daily(60),0.7812553283940117,37.072538403768576,-0.35400262081535316,0.5244195623710941,44.40731275801061,5087
中证1000,ATR_ratio(5),0.7785427960334435,42.90497980886284,0.1026406377600622,0.6230621377389197,62.53159634454598,5143
中证1000,ATR_ratio(10),0.7902160957571039,43.97036456142805,0.09998795251070457,0.603211688161213,63.04009342156481,5138
