指数,ts_code,全历史_样本量,全历史_ATR_ratio均值,全历史_振幅均值,全历史_1.0x覆盖率,全历史_1.5x覆盖率,全历史_MAE,近一年_样本量,近一年_ATR_ratio均值,近一年_振幅均值,近一年_1.0x覆盖率,近一年_1.5x覆盖率,近一年_MAE,全历史_K_buy_50,近一年_K_buy_50,全历史_K_sell_50,近一年_K_sell_50,全历史_K_buy_60,近一年_K_buy_60,全历史_K_sell_60,近一年_K_sell_60,全历史_K_buy_70,近一年_K_buy_70,全历史_K_sell_70,近一年_K_sell_70,全历史_K_buy_80,近一年_K_buy_80,全历史_K_sell_80,近一年_K_sell_80,全历史_K_buy_90,近一年_K_buy_90,全历史_K_sell_90,近一年_K_sell_90
上证指数,000001.SH,7997,1.9466,1.833,65.6,88.8,0.7457,242,1.0231,0.9827,65.3,86.0,0.3866,0.3694,0.2853,0.3505,0.4727,0.4666,0.3825,0.4397,0.5386,0.5883,0.5089,0.5591,0.6552,0.7729,0.6697,0.7327,0.8525,1.073,0.9651,1.0155,1.1101
深证成指,399001.SZ,7995,2.2678,2.1591,63.9,89.1,0.8194,242,1.6044,1.5246,65.7,88.8,0.5594,0.3658,0.3317,0.3631,0.4248,0.4702,0.4363,0.4609,0.5375,0.5968,0.5294,0.5862,0.664,0.7659,0.6442,0.7485,0.8345,1.0702,1.0203,1.0538,1.0875
创业板指,399006.SZ,3820,2.3594,2.2497,63.3,89.8,0.7946,242,2.2169,2.1181,67.4,88.8,0.7484,0.3493,0.3618,0.3869,0.4197,0.4618,0.4414,0.4965,0.5537,0.5935,0.5216,0.6306,0.6598,0.7709,0.6549,0.8063,0.8208,1.0529,0.911,1.0833,1.1156
上证50,000016.SH,5377,1.9487,1.838,65.3,89.3,0.6711,242,1.145,1.0949,64.0,86.8,0.3897,0.3594,0.3294,0.3714,0.4208,0.4489,0.418,0.4753,0.5117,0.561,0.5502,0.6128,0.6809,0.7227,0.7153,0.7903,0.8631,0.9922,0.9379,1.0795,1.1951
沪深300,000300.SH,5134,1.914,1.8084,65.0,89.2,0.6631,242,1.2095,1.1455,65.7,87.6,0.4215,0.355,0.2975,0.3773,0.4238,0.4509,0.4177,0.4718,0.5214,0.5716,0.5574,0.6082,0.6667,0.7359,0.7045,0.7742,0.8231,1.0225,0.9173,1.0655,1.0883
中证500,000905.SH,5134,2.1136,2.0198,63.9,88.5,0.7633,242,1.5781,1.5234,63.6,87.2,0.5836,0.3386,0.3257,0.3834,0.431,0.4491,0.4081,0.4873,0.5673,0.5892,0.518,0.6143,0.6956,0.781,0.6539,0.7846,0.8426,1.134,1.028,1.03,1.1832
中证1000,000852.SH,5134,2.2034,2.1036,63.7,88.5,0.8033,242,1.6789,1.6043,64.9,87.2,0.637,0.3185,0.303,0.3848,0.4542,0.4326,0.4401,0.4937,0.5482,0.5813,0.5545,0.6192,0.647,0.7982,0.7075,0.7887,0.847,1.1764,1.0807,1.04,1.1229
