ts_code,industry,total_mv,close,data_count,atr_ratio_latest,mae,cov_0.5x,cov_0.8x,cov_1.0x,cov_1.2x,cov_1.5x,cov_2.0x,buy_dev_median,buy_dev_p80,sell_dev_median,sell_dev_p80
300315.SZ,传媒,1435030.0,5.3,2983,4.6451,1.7125,9.6,46.5,64.8,77.1,87.7,95.5,0.332,0.6679,0.3965,0.8164
300337.SZ,有色金属,1083310.0,13.18,3258,5.4077,1.9762,11.3,46.0,64.9,76.7,86.6,94.7,0.3537,0.7158,0.367,0.8161
300355.SZ,建筑装饰,651322.0,4.06,3145,3.0502,1.6043,11.4,46.4,64.8,76.8,87.8,95.1,0.3431,0.7123,0.3813,0.7859
300378.SZ,计算机,1175820.0,43.3,2944,4.6432,1.9097,10.9,46.2,65.1,76.9,87.9,96.0,0.334,0.7001,0.3913,0.8078
300399.SZ,,462582.0,23.41,2766,4.4569,2.1516,12.7,46.7,65.1,77.0,87.5,94.9,0.3213,0.6805,0.3855,0.8315
300417.SZ,机械设备,189196.0,14.06,2707,3.5626,1.8581,12.2,45.6,64.9,76.0,86.9,95.1,0.3559,0.7389,0.3683,0.772
300436.SZ,医药生物,1702560.0,106.9,2599,7.2773,2.0646,14.6,49.7,66.2,76.8,86.2,93.8,0.3234,0.686,0.3558,0.7599
300455.SZ,,1746330.0,24.33,2501,5.0363,1.782,11.5,45.7,63.5,76.2,87.6,95.9,0.3205,0.6976,0.3789,0.809
300473.SZ,汽车,611570.0,35.42,2539,4.4312,1.7271,13.1,47.9,64.6,76.6,87.9,95.0,0.3337,0.7101,0.3811,0.8059
300491.SZ,电力设备,469399.0,26.72,2389,5.2929,2.1527,12.9,46.9,64.5,76.2,86.6,94.8,0.336,0.6927,0.3735,0.835
300511.SZ,,451797.0,7.05,2392,3.8336,1.6753,11.9,46.9,64.9,76.1,87.1,95.2,0.3581,0.6991,0.3652,0.7995
300531.SZ,计算机,611334.0,19.04,2325,4.5894,1.7483,9.9,46.1,65.5,77.8,87.7,95.7,0.3384,0.6874,0.39,0.8066
300551.SZ,,601231.0,17.68,2274,5.7501,2.1791,13.0,47.2,64.2,76.9,86.3,94.3,0.3763,0.7214,0.3385,0.7788
300569.SZ,电力设备,781356.0,7.64,2254,5.0612,1.6483,12.6,47.0,65.6,77.8,88.0,94.7,0.3431,0.7009,0.3531,0.7805
300588.SZ,计算机,498974.0,26.06,2226,4.5099,2.1939,10.9,46.4,65.4,78.0,88.0,95.1,0.3467,0.6894,0.3866,0.8224
300607.SZ,,1263980.0,26.5,2199,3.4301,1.6454,9.3,44.7,64.4,76.5,87.3,96.2,0.3349,0.6895,0.3975,0.8139
300625.SZ,,365644.0,13.09,2185,2.4468,1.1445,9.2,45.9,65.3,78.5,89.1,95.9,0.3766,0.7421,0.365,0.7366
300644.SZ,基础化工,340894.0,30.81,1961,3.5999,1.7785,11.7,46.9,66.9,79.7,88.4,95.1,0.3416,0.7076,0.3848,0.78
300664.SZ,环保,468879.0,6.2,1986,3.2264,1.3002,12.6,47.9,64.8,77.0,88.0,94.9,0.3567,0.7134,0.3557,0.768
300682.SZ,计算机,1965620.0,18.23,2042,5.1322,1.7566,8.5,43.6,64.0,77.8,88.9,96.1,0.3811,0.7261,0.3601,0.7735
300700.SZ,,555840.0,14.0,2053,4.1006,1.9155,10.0,46.3,63.0,76.4,87.0,95.3,0.3539,0.7092,0.3817,0.8265
300721.SZ,基础化工,248424.0,15.07,2022,6.7337,1.9234,11.4,46.2,66.7,78.3,87.3,94.5,0.3354,0.6889,0.378,0.7898
300741.SZ,,1081490.0,17.56,1952,2.6302,1.449,13.0,47.9,67.4,79.5,87.9,94.9,0.3522,0.7163,0.3398,0.736
300762.SZ,,2354870.0,37.5,1700,5.6656,1.8511,9.5,43.9,63.1,75.4,86.8,95.1,0.3369,0.6619,0.4021,0.8395
300782.SZ,电子,4276870.0,79.95,1637,3.9301,1.6367,8.8,43.7,63.7,78.1,88.5,96.0,0.3541,0.6966,0.3942,0.8267
300802.SZ,,594576.0,20.93,1535,4.1077,1.6705,10.6,44.7,64.9,78.7,89.2,95.8,0.3636,0.7221,0.3672,0.7916
300821.SZ,,1508400.0,12.57,1458,5.642,1.8213,11.5,47.6,67.2,78.3,87.9,94.8,0.3408,0.6827,0.3833,0.7768
300839.SZ,,392891.0,13.32,1381,7.0821,1.923,11.5,46.0,65.4,78.3,88.4,94.2,0.3773,0.719,0.362,0.7664
300857.SZ,电子,8722940.0,252.02,1367,6.4131,1.9226,8.4,42.6,62.7,76.2,87.6,95.2,0.3531,0.7156,0.4031,0.852
300877.SZ,,348960.0,29.08,1347,5.9848,1.7081,12.2,48.4,66.7,78.8,88.1,94.9,0.3688,0.7227,0.3579,0.7399
300895.SZ,计算机,895774.0,63.62,1324,6.8338,2.1549,11.8,47.2,65.2,76.4,87.4,95.0,0.3128,0.6562,0.4101,0.8519
300913.SZ,,1735840.0,50.64,1278,5.349,2.2575,12.5,48.6,65.1,77.4,86.9,95.2,0.324,0.6516,0.3986,0.8396
300935.SZ,,264266.0,33.27,1247,5.3888,1.8914,12.3,45.4,65.7,78.3,88.2,94.6,0.3766,0.7169,0.3546,0.746
300955.SZ,,352296.0,34.95,1202,4.058,2.0058,11.2,48.2,67.3,79.2,88.0,94.5,0.3767,0.7398,0.3592,0.731
300973.SZ,,609626.0,36.0,1192,3.5884,1.5883,8.0,43.5,65.1,78.7,90.2,96.7,0.3993,0.7167,0.3606,0.7757
300993.SZ,,403344.0,13.09,1168,2.3858,1.6292,12.7,47.8,64.9,76.9,87.1,94.7,0.345,0.6998,0.3676,0.7779
301011.SZ,轻工制造,368508.0,23.94,1151,3.1752,2.0965,12.7,47.8,66.9,77.7,88.4,94.8,0.355,0.6874,0.3637,0.7766
301030.SZ,,257634.0,12.73,1126,5.9811,1.9719,9.8,46.1,65.9,78.1,88.8,95.4,0.3699,0.7008,0.3553,0.8102
301051.SZ,,444056.0,21.87,1100,4.0542,1.627,8.7,45.9,65.4,78.1,89.2,95.3,0.3921,0.7001,0.3583,0.7581
301071.SZ,,1193350.0,45.85,1082,6.5605,1.7047,10.0,47.0,65.7,79.8,88.0,95.5,0.3563,0.6555,0.3597,0.7746
301092.SZ,,493744.0,36.7,1060,4.6452,1.8498,13.4,49.8,67.6,79.3,87.6,93.3,0.3285,0.6972,0.3609,0.8125
301112.SZ,机械设备,387146.0,35.11,891,2.9605,2.0485,14.3,50.1,66.8,79.3,87.6,94.9,0.3605,0.7116,0.3311,0.7532
301132.SZ,,599897.0,40.51,871,4.7982,1.9595,12.1,48.3,65.0,77.5,87.3,94.7,0.3337,0.6738,0.3834,0.7837
301160.SZ,钢铁,724373.0,63.79,918,4.259,1.575,9.1,42.8,62.8,75.8,88.5,96.0,0.3463,0.6978,0.4093,0.8351
301180.SZ,,860022.0,21.5,1050,5.3827,1.6846,10.0,46.7,65.9,80.7,90.1,95.2,0.3643,0.714,0.3634,0.7434
301200.SZ,机械设备,7639270.0,157.99,982,5.4932,1.4633,10.3,44.8,64.2,77.0,87.6,94.7,0.335,0.7105,0.3957,0.7987
301221.SZ,,497567.0,53.72,1024,3.9832,2.061,10.7,46.6,67.6,78.0,88.8,95.2,0.342,0.6716,0.3948,0.7701
301246.SZ,医药生物,832814.0,20.82,725,4.2121,1.5502,15.9,51.8,67.2,77.8,86.8,94.1,0.3239,0.7015,0.3589,0.7467
301270.SZ,计算机,356700.0,35.67,856,3.8918,2.2903,12.6,49.6,66.6,78.9,88.6,95.1,0.346,0.6685,0.3665,0.7928
301292.SZ,,1405400.0,63.08,652,7.0485,2.321,15.4,49.8,65.0,75.1,85.1,93.7,0.3312,0.7103,0.3385,0.8288
301312.SZ,,940119.0,77.58,893,8.1097,2.3318,12.3,48.1,65.4,76.3,87.5,93.5,0.3365,0.6608,0.4007,0.8281
301331.SZ,,286039.0,27.8,842,3.0114,1.6233,12.4,49.6,67.3,79.1,88.9,95.3,0.3409,0.6851,0.3619,0.7343
301362.SZ,,1078730.0,103.06,622,8.6282,1.5679,13.4,48.4,66.0,78.0,87.6,93.7,0.3617,0.7451,0.3321,0.7371
301383.SZ,,502995.0,30.79,670,3.3647,2.2407,15.2,48.0,65.7,76.4,86.9,94.5,0.3241,0.7128,0.3377,0.838
301428.SZ,,392595.0,39.79,685,5.5682,2.264,15.1,50.8,68.6,79.9,87.0,93.9,0.3147,0.6746,0.3839,0.7753
301499.SZ,,463845.0,33.55,642,4.7207,2.103,14.3,51.0,68.0,79.6,88.1,94.4,0.327,0.6519,0.3547,0.7833
301522.SZ,,1257280.0,33.81,345,4.6395,2.0705,21.5,54.1,69.2,77.0,87.9,95.2,0.2834,0.5945,0.3431,0.7847
301560.SZ,汽车,480806.0,39.54,216,4.3103,1.7809,24.8,55.4,73.3,78.7,88.1,93.6,0.305,0.5689,0.3219,0.7512
301590.SZ,电力设备,824115.0,195.97,191,5.2905,2.3401,24.9,54.8,66.7,76.3,84.7,91.5,0.2811,0.5955,0.3222,0.8603
301618.SZ,,452703.0,50.18,352,2.4599,4.1948,28.7,59.2,76.3,82.2,89.3,96.2,0.2894,0.6227,0.2967,0.6988
600022.SH,钢铁,1786710.0,1.67,4936,4.1801,1.3123,13.5,44.6,62.9,75.8,86.7,94.9,0.3818,0.7187,0.3907,0.811
600051.SH,综合,249948.0,8.04,6011,2.248,1.3305,11.2,45.7,64.5,76.9,87.8,95.3,0.3705,0.7625,0.362,0.7536
600075.SH,基础化工,1242960.0,7.28,6011,6.1849,1.4287,10.2,44.4,63.8,76.4,87.6,95.8,0.3621,0.7362,0.3873,0.7724
600101.SH,,580734.0,10.6,6011,3.2843,1.3953,11.7,44.7,63.5,76.5,87.4,95.5,0.3634,0.7294,0.3848,0.7892
600121.SH,煤炭,599459.0,4.92,6011,5.9061,1.614,13.0,46.5,64.6,76.7,86.9,94.9,0.3475,0.7224,0.3729,0.792
600150.SH,国防军工,26023600.0,34.58,6011,2.8738,1.4736,9.9,44.3,64.1,76.4,87.3,95.8,0.3451,0.698,0.399,0.8424
600170.SH,建筑装饰,2585810.0,2.91,6011,3.003,1.5105,10.8,43.4,61.8,75.6,86.9,95.0,0.3816,0.788,0.3677,0.812
600193.SH,,200351.0,4.71,6011,3.5907,1.6552,11.9,44.3,62.5,76.7,88.3,95.9,0.3551,0.7305,0.3806,0.8065
600218.SH,汽车,447797.0,10.28,6011,3.8299,1.5508,10.6,45.9,64.2,75.8,87.0,95.0,0.3604,0.7336,0.373,0.777
600239.SH,,374125.0,2.33,5817,2.4688,2.0112,13.5,45.6,63.6,75.5,86.4,95.2,0.3596,0.7255,0.3667,0.8108
600268.SH,电力设备,1490280.0,14.67,6011,5.9325,1.7835,12.4,45.5,64.0,75.6,86.7,94.6,0.3623,0.737,0.3659,0.7996
600293.SH,,411852.0,3.55,5957,4.5429,1.5847,10.9,45.4,64.2,76.9,87.7,95.3,0.3636,0.7459,0.3749,0.7658
600319.SH,基础化工,315595.0,8.14,5637,5.3338,1.4989,10.6,45.2,64.1,76.8,87.6,95.2,0.3552,0.7235,0.3808,0.7836
600343.SH,,2011630.0,31.52,5500,7.9123,1.7039,10.7,44.3,62.8,75.6,86.4,95.1,0.364,0.7259,0.3846,0.8094
600366.SH,,1390290.0,12.65,6011,4.1787,1.6489,10.3,43.6,63.3,76.2,87.6,96.1,0.3605,0.7421,0.3726,0.8017
600388.SH,,2326720.0,18.32,6011,3.5895,1.4535,10.7,43.3,62.0,76.7,88.2,95.8,0.374,0.7576,0.3727,0.7908
600418.SH,,10998100.0,48.79,5778,3.238,1.4968,9.2,43.4,63.7,76.4,87.2,95.7,0.3589,0.7221,0.3897,0.8019
600449.SH,建筑材料,653674.0,13.67,5347,2.7283,1.4683,10.8,44.2,63.3,75.5,87.3,95.6,0.3512,0.7197,0.3871,0.8154
600480.SH,汽车,1269950.0,10.39,5273,2.4908,1.5572,9.7,43.7,62.4,75.6,87.0,95.6,0.3708,0.7393,0.381,0.7885
600503.SH,房地产,410186.0,2.56,5376,3.3114,1.5577,10.4,45.3,64.0,77.3,88.4,95.4,0.3326,0.7061,0.3882,0.8073
600523.SH,汽车,606467.0,15.0,5731,3.0173,1.5822,9.4,42.8,62.1,75.2,87.5,95.9,0.3553,0.7299,0.3908,0.8184
600548.SH,交通运输,2296760.0,9.05,5814,1.3141,1.1042,10.1,43.4,63.0,76.3,87.4,95.0,0.3947,0.7672,0.3539,0.7594
600571.SH,计算机,684089.0,14.67,5463,2.83,1.7282,10.8,44.7,63.0,75.9,87.0,95.5,0.3448,0.7273,0.3901,0.8273
600590.SH,,1316830.0,15.44,5466,7.0291,1.4947,9.4,42.3,62.5,75.2,87.3,95.8,0.3572,0.7456,0.3806,0.8149
600611.SH,交通运输,1264810.0,5.35,6011,1.7696,1.3974,12.2,45.6,64.2,77.1,87.4,95.4,0.3614,0.7289,0.3686,0.7758
600635.SH,,1800990.0,6.1,6011,4.0413,1.4668,11.9,45.0,64.1,76.2,87.3,95.3,0.3609,0.737,0.3695,0.7863
600657.SH,房地产,938268.0,3.29,6011,3.0679,1.5687,10.8,44.6,63.7,77.0,88.2,95.8,0.3591,0.7238,0.3752,0.7858
600682.SH,,981946.0,7.3,6011,2.5003,1.4434,11.7,45.2,63.7,77.0,87.6,95.2,0.3813,0.7481,0.3541,0.7836
600704.SH,,2807950.0,5.43,6011,2.1902,1.4885,9.1,44.5,62.3,75.6,87.9,95.9,0.3773,0.7391,0.3883,0.7846
600725.SH,煤炭,594051.0,4.82,6011,5.1798,1.7054,11.2,44.1,63.3,75.8,87.9,95.9,0.3713,0.7478,0.3783,0.7907
600744.SH,公用事业,1683800.0,8.29,6011,6.3394,1.5611,13.3,46.9,64.6,76.7,86.8,94.6,0.3615,0.7242,0.357,0.7746
600765.SH,国防军工,2719970.0,17.52,6011,4.6206,1.6694,10.3,43.0,62.4,75.9,87.7,96.0,0.3602,0.7439,0.3827,0.8031
600789.SH,医药生物,914541.0,8.75,6011,1.7301,1.5471,13.1,47.7,64.8,76.9,86.5,94.6,0.3565,0.7118,0.3576,0.7774
600812.SH,医药生物,962525.0,5.61,6011,2.033,1.4546,11.7,44.4,63.7,76.5,87.2,95.2,0.3689,0.7436,0.3567,0.7774
600833.SH,医药生物,279081.0,12.51,6011,1.9449,1.5157,11.7,45.6,63.6,76.6,87.5,94.6,0.362,0.7436,0.3647,0.7742
600859.SH,商贸零售,1475720.0,13.13,6011,2.1283,1.3137,9.5,43.0,63.0,76.5,87.8,95.9,0.3754,0.7375,0.3809,0.7983
600879.SH,国防军工,7552100.0,22.89,6011,6.0229,1.5768,9.3,43.1,62.3,76.3,87.8,95.7,0.3461,0.7399,0.3877,0.8081
600903.SH,公用事业,772806.0,6.72,2016,2.8019,1.5395,18.6,52.9,67.6,77.2,85.9,93.3,0.3312,0.6794,0.3374,0.7767
600939.SH,,599280.0,3.15,2203,2.7562,1.3923,14.1,48.4,66.4,78.3,87.9,94.5,0.3581,0.7091,0.3381,0.747
600975.SH,农林牧渔,713557.0,5.71,5125,1.8706,1.6191,12.2,45.1,63.4,76.4,87.1,95.1,0.3648,0.7354,0.3748,0.7902
600996.SH,,1077240.0,8.64,2236,4.498,1.6303,13.0,49.1,65.9,77.2,88.0,94.4,0.3322,0.6826,0.3745,0.819
601019.SH,传媒,1874040.0,8.98,2017,2.2672,0.9447,9.0,42.2,63.3,76.8,89.5,96.2,0.3824,0.7381,0.3816,0.7919
601089.SH,医药生物,1130400.0,23.55,900,3.5753,1.2172,13.5,45.0,63.7,76.3,87.1,94.9,0.3541,0.7339,0.3754,0.7902
601128.SH,银行,2387890.0,7.2,2294,1.6003,1.038,9.8,41.7,62.4,77.6,88.8,95.7,0.3462,0.6926,0.4083,0.8136
601198.SH,,4318550.0,13.36,2660,1.7804,1.3013,12.7,49.0,67.0,77.5,86.7,94.4,0.3119,0.657,0.3912,0.8041
601288.SH,银行,235889000.0,6.74,3801,2.1283,0.6445,10.9,40.9,58.2,72.8,86.2,95.8,0.4247,0.7446,0.4438,0.8308
601398.SH,银行,263384000.0,7.39,4689,1.5679,0.7582,10.9,43.3,62.8,75.4,87.7,95.5,0.3729,0.7131,0.3947,0.8333
601599.SH,纺织服饰,474662.0,4.09,3428,3.8422,1.5837,11.0,46.4,64.7,75.9,86.6,95.1,0.3588,0.7057,0.3671,0.7883
601668.SH,建筑装饰,20908100.0,5.06,4032,1.5359,0.9441,11.0,44.5,63.2,76.8,87.8,95.5,0.3689,0.7136,0.3644,0.8074
601788.SH,非银金融,7451030.0,16.16,4003,1.3712,1.3188,11.9,47.9,65.6,78.1,87.7,94.8,0.3311,0.6632,0.3784,0.8051
601866.SH,交通运输,3721740.0,2.82,4317,4.1415,1.2786,11.7,45.5,64.9,77.3,87.7,95.1,0.3691,0.7127,0.3593,0.7827
601918.SH,煤炭,2020620.0,7.8,4278,3.7207,1.3833,10.3,43.6,63.7,77.9,88.8,96.1,0.3475,0.7129,0.3821,0.812
601990.SH,,3352520.0,7.62,1882,1.3061,1.3777,16.0,51.4,66.4,76.9,86.8,94.2,0.3032,0.633,0.3614,0.8294
603011.SH,机械设备,1183630.0,23.94,2662,6.539,1.7775,13.1,47.8,64.2,75.9,86.3,94.8,0.3568,0.7089,0.3547,0.8056
603030.SH,建筑装饰,343720.0,2.61,2654,3.2062,1.6794,13.0,47.3,65.6,77.2,87.2,94.6,0.352,0.7132,0.3594,0.7864
603053.SH,公用事业,888890.0,10.0,1513,2.8066,1.0646,13.8,47.7,66.2,78.0,87.9,95.2,0.3679,0.703,0.3693,0.7347
603073.SH,基础化工,244876.0,21.11,727,3.1059,1.4059,12.2,46.0,64.9,77.3,87.8,94.7,0.3891,0.7137,0.3653,0.7518
603093.SH,非银金融,1525170.0,21.25,1584,4.8409,1.572,12.2,47.3,64.9,77.2,87.3,94.5,0.3221,0.6794,0.3869,0.8439
603115.SH,有色金属,797996.0,32.99,1599,6.3795,1.4204,11.5,46.2,64.8,77.0,87.9,95.3,0.3756,0.7642,0.3586,0.7505
603135.SH,机械设备,695780.0,10.97,711,3.3506,1.4403,16.2,52.6,67.7,77.9,86.9,93.7,0.3504,0.7301,0.3303,0.7325
603168.SH,医药生物,291819.0,7.8,2820,2.9368,1.6039,13.7,47.8,65.7,77.0,87.4,94.2,0.3411,0.6926,0.3594,0.7921
603188.SH,基础化工,295918.0,5.19,2713,4.682,1.3616,11.4,46.4,64.8,77.1,87.0,95.4,0.3654,0.7196,0.3602,0.7918
603207.SH,,457855.0,28.47,375,1.8492,1.7874,19.4,54.8,71.2,79.8,88.9,93.6,0.3109,0.6645,0.3329,0.733
603227.SH,基础化工,937731.0,8.75,2575,2.5061,1.5563,13.9,47.6,64.7,76.3,87.0,94.4,0.3473,0.7082,0.3625,0.7566
603260.SH,,5659220.0,47.87,2034,3.2997,1.4556,8.3,43.1,63.8,78.0,88.4,96.0,0.3659,0.7135,0.3793,0.805
603282.SH,环保,285973.0,21.37,728,3.3804,1.2945,9.5,48.9,67.2,78.7,89.1,95.1,0.3884,0.7535,0.3494,0.7149
603308.SH,机械设备,4311200.0,63.49,2884,6.1932,1.5635,9.4,41.4,61.6,75.4,87.5,96.0,0.3706,0.7422,0.3911,0.825
603327.SH,电子,1038140.0,9.93,1654,3.0225,1.599,10.8,47.4,66.1,77.4,87.7,95.5,0.3722,0.7453,0.3442,0.753
603351.SH,医药生物,353225.0,26.08,1726,2.487,1.4264,10.7,43.8,63.5,76.4,87.6,94.7,0.3696,0.7448,0.375,0.764
603377.SH,社会服务,263107.0,3.68,2410,2.7754,1.4422,11.1,44.2,63.6,77.3,88.7,95.8,0.3801,0.7319,0.3522,0.7617
603399.SH,,542516.0,10.59,3081,4.8221,1.8458,12.7,46.3,64.9,75.9,86.5,94.6,0.3293,0.6761,0.3834,0.8316
