ts_code,industry,total_mv,close,data_count,atr_ratio_latest,mae,cov_0.5x,cov_0.8x,cov_1.0x,cov_1.2x,cov_1.5x,cov_2.0x,buy_dev_median,buy_dev_p80,sell_dev_median,sell_dev_p80
688450.SH,,226380.0,34.3,641,4.1676,1.5685,10.5,45.9,68.1,79.3,87.7,95.1,0.4022,0.7452,0.3557,0.7526
688496.SH,,306900.0,6.82,777,4.3741,2.0071,9.8,46.3,65.6,79.0,89.9,95.9,0.3477,0.7158,0.3788,0.771
688518.SH,,853313.0,25.0,1390,5.6122,1.6436,7.5,39.5,63.2,79.0,89.8,96.4,0.3838,0.7598,0.3576,0.8038
688545.SH,,1829520.0,50.82,276,6.3282,1.7509,9.9,45.4,61.8,75.6,85.5,94.7,0.337,0.6499,0.4071,0.9679
688569.SH,机械设备,448509.0,21.29,1342,2.0356,1.4074,13.1,47.9,67.1,78.4,87.3,95.5,0.39,0.7096,0.3402,0.7393
688590.SH,计算机,394932.0,14.82,1278,4.6899,2.0382,10.0,45.9,64.5,77.5,88.2,95.5,0.3515,0.7153,0.3669,0.7646
688610.SH,,520336.0,76.52,644,5.849,1.7382,10.2,43.7,65.1,78.9,88.3,94.8,0.3624,0.7271,0.3879,0.7485
688631.SH,,1020050.0,62.4,659,4.5808,2.4457,14.3,46.0,64.8,76.4,86.4,94.3,0.3388,0.6705,0.3617,0.8777
688663.SH,,814469.0,57.57,1194,6.2084,1.8886,6.7,41.3,63.6,77.8,88.4,95.3,0.3567,0.7071,0.4067,0.8396
688689.SH,,477071.0,37.01,1242,5.7069,1.68,8.0,43.6,62.9,78.1,88.8,96.3,0.3752,0.7372,0.3832,0.7763
688716.SH,,435858.0,35.82,599,4.1465,2.2754,11.1,45.8,65.0,76.8,87.2,95.2,0.3451,0.7162,0.3665,0.8638
688759.SH,,1845150.0,41.0,94,6.3729,3.5639,28.7,53.8,70.0,75.0,87.5,91.2,0.3014,0.5409,0.2958,0.8776
688793.SH,,184783.0,21.5,1131,3.1259,2.0332,11.5,49.6,68.4,79.3,88.6,95.2,0.3925,0.7561,0.33,0.7106
920005.BJ,,318886.0,38.42,151,2.4008,1.1768,16.1,57.7,73.0,83.2,88.3,97.1,0.3709,0.6518,0.3068,0.5899
920029.BJ,,1191650.0,85.8,235,2.148,1.3647,18.6,54.3,70.6,83.3,91.4,96.8,0.3123,0.6685,0.3116,0.728
920068.BJ,有色金属,1597040.0,24.36,207,5.0198,1.9433,19.2,52.8,67.4,80.3,89.6,93.8,0.3128,0.629,0.3442,0.7875
920108.BJ,,200785.0,11.66,271,2.6555,1.9801,14.4,49.8,70.0,80.9,90.3,94.9,0.4027,0.7505,0.3266,0.5877
920152.BJ,,213219.0,19.15,1387,5.178,2.798,22.8,51.4,67.0,77.5,86.7,93.4,0.2838,0.685,0.2435,0.7109
920195.BJ,,200471.0,20.45,1589,2.6424,2.335,23.5,51.4,66.4,76.5,86.1,93.3,0.2514,0.6753,0.2715,0.7752
920252.BJ,,287730.0,28.03,957,4.27,3.3504,21.8,53.9,68.6,77.8,85.2,91.6,0.2504,0.5852,0.3137,0.8185
920339.BJ,,199284.0,9.05,896,3.8215,2.7331,18.7,52.5,68.9,78.8,87.6,93.5,0.3717,0.7347,0.237,0.6816
920405.BJ,,328349.0,23.41,1652,4.9476,1.9697,22.2,49.7,64.3,75.6,84.9,92.8,0.2997,0.7259,0.254,0.774
920475.BJ,,143909.0,14.24,1473,3.6731,2.3584,18.9,51.5,66.9,76.7,86.1,92.6,0.3865,0.7844,0.2373,0.6891
920541.BJ,机械设备,183862.0,13.45,818,2.084,2.7253,20.9,53.9,68.0,77.7,87.2,92.8,0.3406,0.6737,0.2761,0.7152
920639.BJ,,167126.0,8.29,1319,3.8029,4.6369,24.0,53.5,67.0,77.3,86.0,92.2,0.2251,0.6012,0.1784,0.6365
920699.BJ,,188889.0,41.4,693,4.0043,2.8921,21.1,52.6,67.6,78.1,86.7,93.1,0.3218,0.6822,0.3236,0.7633
920779.BJ,,286828.0,35.82,1235,5.3264,3.1087,26.2,51.6,65.4,75.6,85.6,91.9,0.1807,0.5906,0.2327,0.7949
920839.BJ,,408415.0,34.55,1511,3.5364,2.6498,21.2,50.8,66.5,77.4,86.4,92.7,0.2871,0.6932,0.2978,0.7691
920926.BJ,,139170.0,15.75,630,3.1887,3.0248,16.1,55.2,70.1,80.0,87.8,93.0,0.3786,0.6626,0.3139,0.7039
920992.BJ,,147805.0,15.28,832,3.1006,2.4672,18.9,53.3,69.2,80.1,87.5,93.4,0.3532,0.7228,0.2998,0.7188
