date,IC
20250317,0.07135623709384147
20250318,0.01787909516742033
20250319,-0.08092022959709769
20250320,0.05954096363430063
20250321,-0.12615422550082867
20250324,0.014772006434633025
20250325,-0.032973179684056705
20250326,0.06316903424449957
20250327,-0.03464596391635161
20250328,-0.015825947281324613
20250331,0.24799268890890386
20250401,-0.12173233054194547
20250402,0.14115187362239645
20250403,-0.24116015152359294
20250407,-0.21819652972037729
20250408,-0.04039914349264085
20250409,0.03198718256364557
20250410,-0.0730620934208319
20250411,0.11801001952079698
20250414,-0.004355732273691736
20250415,0.010363100246525299
20250416,0.12626434348055077
20250417,0.04267862288148737
20250418,-0.03158696044953971
20250421,0.002198752595578192
20250422,0.11569033947431515
20250423,-0.14238966714543755
20250424,0.25500777990832435
20250425,0.03334445518629497
20250428,0.038663680802659285
20250429,-0.10394100986957205
20250430,-0.040023473860244324
20250506,-0.04873535262333944
20250507,0.05773227937121746
20250508,0.15837322266645143
20250509,-0.021930102778156456
20250512,0.24445540979521857
20250513,-0.1187935102894267
20250514,0.09258954116052752
20250515,-0.07532099216579256
20250516,0.06216866760254132
20250519,0.035917700894551985
20250520,0.02671248855856991
20250521,0.04213757550494925
20250522,0.03764921385470653
20250523,0.04628104491951568
20250526,0.08212398464937658
20250527,-0.048605468683710525
20250528,0.05742584059717516
20250529,-0.02476508112897818
20250530,0.12512485092312595
20250603,-0.04504810691035637
20250604,-0.07049404484819044
20250605,0.14257497808973082
20250606,-0.0747521670440254
20250609,0.014734733507809645
20250610,0.04990224432067957
20250611,-0.046533380898368955
20250612,0.008344823260198508
20250613,-0.10394663163391436
20250616,0.003971780964726724
20250617,-0.0034475740057365186
20250618,-0.12298100263865387
20250619,0.0613287824089044
20250620,0.10909460566626594
20250623,-0.1474056979851669
20250624,0.032207414049304085
20250625,0.045184693570540085
20250626,-0.0260600818388131
20250627,-0.043820389574339175
20250630,0.07983056532984899
20250701,-0.04624127720450462
20250702,-0.005551690437898232
20250703,0.10121205673714444
20250704,-0.06542296495392268
20250707,0.009235616347969815
20250708,-0.03975982525161732
20250709,0.023568891978872956
20250710,0.09196841983101199
20250711,-0.11197481561371513
20250714,0.0041866808277679374
20250715,0.11677517961116111
20250716,0.05635185789689396
20250717,-0.019411933102688583
20250718,-0.09462750898680317
20250721,0.08826304417367146
20250722,0.09715904998421789
20250723,-0.10898911550633814
20250724,0.030085013715676175
20250725,-0.10714946577142179
20250728,0.02224664491417146
20250729,0.11217783308983606
20250730,0.15310960914971486
20250731,-0.11063048435534142
20250801,0.024687495319174673
20250804,-0.09107425807458099
20250805,-0.036614404574501505
20250806,0.034788647249585795
20250807,-0.012985012228305951
20250808,0.12319307169535196
20250811,-0.15279838183883315
20250812,0.004676926424373857
20250813,-0.03911940986987726
20250814,0.04639040208291605
20250815,-0.026410285592360493
20250818,-0.05547972661804499
20250819,0.07564973943252613
20250820,-0.15063219153056615
20250821,0.10818617429780363
20250822,-0.1238796039626468
