doc_id,level1,level2,level3,level4,api_name,url,doc_path,hierarchy_path
145,股票数据,行情数据,月线行情,,monthly,https://tushare.pro/document/2?doc_id=145,F:\projects\my-stock\tushare_docs\document\2\doc_id-145.md,F:\projects\my-stock\tushare_docs\股票数据\行情数据\月线行情.md
214,股票数据,行情数据,每日停复牌信息,,suspend_d,https://tushare.pro/document/2?doc_id=214,F:\projects\my-stock\tushare_docs\document\2\doc_id-214.md,F:\projects\my-stock\tushare_docs\股票数据\行情数据\每日停复牌信息.md
32,股票数据,行情数据,每日指标,,daily_basic,https://tushare.pro/document/2?doc_id=32,F:\projects\my-stock\tushare_docs\document\2\doc_id-32.md,F:\projects\my-stock\tushare_docs\股票数据\行情数据\每日指标.md
183,股票数据,行情数据,每日涨跌停价格,,stk_limit,https://tushare.pro/document/2?doc_id=183,F:\projects\my-stock\tushare_docs\document\2\doc_id-183.md,F:\projects\my-stock\tushare_docs\股票数据\行情数据\每日涨跌停价格.md
48,股票数据,行情数据,沪深股通十大成交股,,hsgt_top10,https://tushare.pro/document/2?doc_id=48,F:\projects\my-stock\tushare_docs\document\2\doc_id-48.md,F:\projects\my-stock\tushare_docs\股票数据\行情数据\沪深股通十大成交股.md
49,股票数据,行情数据,港股通十大成交股,,ggt_top10,https://tushare.pro/document/2?doc_id=49,F:\projects\my-stock\tushare_docs\document\2\doc_id-49.md,F:\projects\my-stock\tushare_docs\股票数据\行情数据\港股通十大成交股.md
196,股票数据,行情数据,港股通每日成交统计,,ggt_daily,https://tushare.pro/document/2?doc_id=196,F:\projects\my-stock\tushare_docs\document\2\doc_id-196.md,F:\projects\my-stock\tushare_docs\股票数据\行情数据\港股通每日成交统计.md
197,股票数据,行情数据,港股通每月成交统计,,ggt_monthly,https://tushare.pro/document/2?doc_id=197,F:\projects\my-stock\tushare_docs\document\2\doc_id-197.md,F:\projects\my-stock\tushare_docs\股票数据\行情数据\港股通每月成交统计.md
109,股票数据,行情数据,通用行情接口,,pro_bar,https://tushare.pro/document/2?doc_id=109,F:\projects\my-stock\tushare_docs\document\2\doc_id-109.md,F:\projects\my-stock\tushare_docs\股票数据\行情数据\通用行情接口.md
46,股票数据,财务数据,业绩快报,,express,https://tushare.pro/document/2?doc_id=46,F:\projects\my-stock\tushare_docs\document\2\doc_id-46.md,F:\projects\my-stock\tushare_docs\股票数据\财务数据\业绩快报.md
45,股票数据,财务数据,业绩预告,,forecast,https://tushare.pro/document/2?doc_id=45,F:\projects\my-stock\tushare_docs\document\2\doc_id-45.md,F:\projects\my-stock\tushare_docs\股票数据\财务数据\业绩预告.md
81,股票数据,财务数据,主营业务构成,,fina_mainbz,https://tushare.pro/document/2?doc_id=81,F:\projects\my-stock\tushare_docs\document\2\doc_id-81.md,F:\projects\my-stock\tushare_docs\股票数据\财务数据\主营业务构成.md
103,股票数据,财务数据,分红送股数据,,dividend,https://tushare.pro/document/2?doc_id=103,F:\projects\my-stock\tushare_docs\document\2\doc_id-103.md,F:\projects\my-stock\tushare_docs\股票数据\财务数据\分红送股数据.md
33,股票数据,财务数据,利润表,,income,https://tushare.pro/document/2?doc_id=33,F:\projects\my-stock\tushare_docs\document\2\doc_id-33.md,F:\projects\my-stock\tushare_docs\股票数据\财务数据\利润表.md
44,股票数据,财务数据,现金流量表,,cashflow,https://tushare.pro/document/2?doc_id=44,F:\projects\my-stock\tushare_docs\document\2\doc_id-44.md,F:\projects\my-stock\tushare_docs\股票数据\财务数据\现金流量表.md
80,股票数据,财务数据,财务审计意见,,fina_audit,https://tushare.pro/document/2?doc_id=80,F:\projects\my-stock\tushare_docs\document\2\doc_id-80.md,F:\projects\my-stock\tushare_docs\股票数据\财务数据\财务审计意见.md
79,股票数据,财务数据,财务指标数据,,fina_indicator,https://tushare.pro/document/2?doc_id=79,F:\projects\my-stock\tushare_docs\document\2\doc_id-79.md,F:\projects\my-stock\tushare_docs\股票数据\财务数据\财务指标数据.md
162,股票数据,财务数据,财报披露日期表,,disclosure_date,https://tushare.pro/document/2?doc_id=162,F:\projects\my-stock\tushare_docs\document\2\doc_id-162.md,F:\projects\my-stock\tushare_docs\股票数据\财务数据\财报披露日期表.md
36,股票数据,财务数据,资产负债表,,balancesheet,https://tushare.pro/document/2?doc_id=36,F:\projects\my-stock\tushare_docs\document\2\doc_id-36.md,F:\projects\my-stock\tushare_docs\股票数据\财务数据\资产负债表.md
170,股票数据,资金流向数据,个股资金流向,,moneyflow,https://tushare.pro/document/2?doc_id=170,F:\projects\my-stock\tushare_docs\document\2\doc_id-170.md,F:\projects\my-stock\tushare_docs\股票数据\资金流向数据\个股资金流向.md
349,股票数据,资金流向数据,个股资金流向（DC）,,moneyflow_dc,https://tushare.pro/document/2?doc_id=349,F:\projects\my-stock\tushare_docs\document\2\doc_id-349.md,F:\projects\my-stock\tushare_docs\股票数据\资金流向数据\个股资金流向_DC.md
348,股票数据,资金流向数据,个股资金流向（THS）,,moneyflow_ths,https://tushare.pro/document/2?doc_id=348,F:\projects\my-stock\tushare_docs\document\2\doc_id-348.md,F:\projects\my-stock\tushare_docs\股票数据\资金流向数据\个股资金流向_THS.md
345,股票数据,资金流向数据,大盘资金流向（DC）,,moneyflow_mkt_dc,https://tushare.pro/document/2?doc_id=345,F:\projects\my-stock\tushare_docs\document\2\doc_id-345.md,F:\projects\my-stock\tushare_docs\股票数据\资金流向数据\大盘资金流向_DC.md
344,股票数据,资金流向数据,板块资金流向（DC）,,moneyflow_ind_dc,https://tushare.pro/document/2?doc_id=344,F:\projects\my-stock\tushare_docs\document\2\doc_id-344.md,F:\projects\my-stock\tushare_docs\股票数据\资金流向数据\板块资金流向_DC.md
