test,signal,horizon,avg_return,med_return,winrate,sample_count
persistence,consecutive_out_N3,1d,0.0038877527834583207,0.08999999999999009,52.51079300159055,22005
persistence,consecutive_out_N3,3d,0.05627848606488315,0.1721526020000086,52.61343262998207,21753
persistence,consecutive_out_N3,5d,0.2630517207589088,0.2708138176592989,53.04667846827541,21466
persistence,consecutive_out_N3,10d,0.7263505290488728,0.5767950362441043,54.53336616596898,20305
persistence,consecutive_out_N3,20d,1.4398492383846184,1.043721659509944,55.71709828865667,19809
persistence,consecutive_out_N5,1d,-0.00040082474226802947,0.08999999999999009,52.40412371134021,12125
persistence,consecutive_out_N5,3d,0.16292426374150054,0.2503282127999884,53.89221556886228,12024
persistence,consecutive_out_N5,5d,0.40765228814809057,0.3670525237730371,54.35003385240352,11816
persistence,consecutive_out_N5,10d,0.7540409819370626,0.5801827319197206,54.41124155104945,11244
persistence,consecutive_out_N5,20d,1.3804932633112157,0.8712292440220426,54.996398991717676,11108
persistence,consecutive_in_N3,1d,0.36610287707061884,0.17000000000000348,55.18744551002616,1147
persistence,consecutive_in_N3,3d,0.6732793826448715,0.1252056848000005,51.64835164835166,1092
persistence,consecutive_in_N3,5d,0.5026372170258633,0.1906405477819062,51.91204588910134,1046
persistence,consecutive_in_N3,10d,1.1215592715404386,0.5877047961167836,55.05050505050505,990
persistence,consecutive_in_N3,20d,2.945419575329298,2.4386318850283306,62.40601503759399,931
persistence,consecutive_in_N5,1d,0.538431372549019,-0.22499999999999742,44.11764705882353,102
persistence,consecutive_in_N5,3d,0.5922275218032604,-0.26656590080000875,45.65217391304348,92
persistence,consecutive_in_N5,5d,-0.16196490710199066,-0.45818762385539946,43.956043956043956,91
persistence,consecutive_in_N5,10d,0.6503614303641172,-0.34988814014561553,44.57831325301205,83
persistence,consecutive_in_N5,20d,3.8234559092963925,3.2933998100888706,62.65060240963856,83
