group,label,regime,sample_count,avg_1d,med_1d,winrate_1d,count_1d,avg_3d,med_3d,winrate_3d,count_3d,avg_5d,med_5d,winrate_5d,count_5d,avg_10d,med_10d,winrate_10d,count_10d,avg_20d,med_20d,winrate_20d,count_20d
A_smart_uncrowded,A: 聪明钱+未拥挤,all,248689,-0.055295033929661334,-0.08826125330979595,46.857535999227515,248547,-0.04214605217076972,-0.24154589371979673,46.59606595663291,248345,0.08163401812030206,-0.3401360544217802,46.6458865940305,247994,0.37326234218445975,-0.4310344827586077,47.15854308461517,245807,0.8994641406497653,-0.5586592178770999,47.52459426127075,244061
B_smart_crowded,B: 聪明钱+已拥挤,all,20398,0.5738697910459929,0.0,47.580486847271295,20376,0.6009508295279435,-0.12815038647660537,47.779742607328814,20358,0.6880788359861525,-0.2645502645502562,47.26552833457065,20205,1.2852818437935056,0.0,49.98511166253102,20150,2.6859206338565302,0.3457814661134151,51.1528177185813,19821
C_industry_hot,C: 仅行业热,all,96414,0.48662138119776427,0.0,49.15886878768975,96180,0.465354591554319,0.0,48.59508774849938,96127,0.6817730993159489,0.0,49.271585557299844,95550,1.2710616571064928,0.4005340453938411,52.14341960207884,95245,2.790855630437992,0.73260073260073,52.896088163720364,93281
D_stock_only,D: 仅个股强,all,478972,0.08908572706102778,-0.09276437847866026,46.74441367655794,478132,0.2915286755758243,-0.21276595744680327,46.96237795034251,476343,0.41587895349125675,-0.3046292779508908,46.91602680470556,474842,0.8146451154453882,-0.3390405153415932,47.70996489905034,472067,1.5564583362439597,-0.38520801232666546,48.194328634127736,464121
E_control,E: 对照组,all,2894299,0.07651180676479859,0.0,48.17406809284407,2890524,0.2702505754306356,0.0,48.58330789298401,2882560,0.4481625732613213,0.0,48.93166049648084,2875116,0.8551163146234189,0.0,49.726551090608666,2855378,1.6379363093588866,0.07968127490038945,50.11537834905136,2817253
A_smart_uncrowded,A: 聪明钱+未拥挤,bull,140744,-0.02259076402898226,-0.06240250217484089,47.24968350379084,140602,0.018780502949101777,-0.26845637583893245,46.348290598290596,140400,0.09920402670677386,-0.398089171974525,46.25309713029011,140049,0.1419981750153087,-0.6243929993822783,46.13961787874831,137862,0.6324310369320113,-0.757511999306304,46.650650915395694,136116
B_smart_crowded,B: 聪明钱+已拥挤,bull,11742,0.7817538366241527,0.0,48.48976109215017,11720,0.5622061563751887,-0.1435756838655211,47.63288326781747,11702,0.31822910541091054,-0.4587155963302836,45.81349034548446,11549,0.95880383054838,-0.11496440067868541,48.89507569166522,11494,1.5752869349670615,-0.3861003861003742,48.32960143304971,11165
C_industry_hot,C: 仅行业热,bull,55252,0.5929381220921405,0.06228604327085385,50.37442291613654,55018,0.3823547542064118,0.0,49.211316292185934,54965,0.3909854536608823,-0.047154231301538285,48.61550341987203,54388,0.9729188265144516,0.3053435114503955,51.450548231422076,54083,2.0493822439446134,0.437974504349814,51.671143514965465,52120
D_stock_only,D: 仅个股强,bull,287931,0.1256203544274342,-0.053619302949048375,47.433043878073505,287091,0.3534644180891908,-0.21455939201266427,47.02841199851386,285302,0.45469088782117006,-0.2587322121604174,47.400114869221746,283801,0.865688270019685,-0.25922727169457316,48.238597140478106,281026,1.376510262675356,-0.42697030349757026,48.047458620184564,273080
E_control,E: 对照组,bull,1705522,0.11551768530448482,0.0,48.95151864525103,1701747,0.3372395630984227,0.0,48.913880939884265,1693783,0.46358999890002,0.0,49.43323969854222,1686339,0.8411497250083917,0.04629629629628873,50.05745226361918,1666601,1.4075647586680806,0.0,49.826064476194624,1628477
A_smart_uncrowded,A: 聪明钱+未拥挤,bear,107945,-0.097893447534509,-0.11937922801431577,46.34675066005836,107945,-0.1213909300143934,-0.20964360587001352,46.918338042521654,107945,0.05883850065745716,-0.2745367192862114,47.15549585437028,107945,0.6686214659444621,-0.19762845849802257,48.45986381953773,107945,1.2361863412671705,-0.28797696184306165,48.626615405993796,107945
B_smart_crowded,B: 聪明钱+已拥挤,bear,8656,0.29240017295726445,-0.10443889860864419,46.34935304990758,8656,0.6533295454745166,-0.12121229930181499,47.978280961182996,8656,1.1815393880209806,0.0,49.20286506469501,8656,1.7188005919727418,0.289436206752125,51.43253234750462,8656,4.118479003553955,1.3684225688892826,54.79436229205176,8656
C_industry_hot,C: 仅行业热,bear,41162,0.3445161761414795,0.0,47.53413342403187,41162,0.5761870598461346,-0.09794328690380105,47.77221709343569,41162,1.0659954031857257,0.06361181071560251,50.138477236285894,41162,1.6627933199729565,0.5287012079464914,53.05378747388369,41162,3.729744211960183,1.1166253101736912,54.447170865625225,41161
D_stock_only,D: 仅个股强,bear,191041,0.03418252457962872,-0.13986013986012624,45.709559728016494,191041,0.19903339335604664,-0.21008403361344463,46.86376222905031,191041,0.3582218758233026,-0.3625377643504679,46.19688967289744,191041,0.7395593822394465,-0.44198895027622864,46.93233389691218,191041,1.8136817591223693,-0.328947368421062,48.40426924063421,191041
E_control,E: 对照组,bear,1188777,0.02067447412185933,0.0,47.061139305353315,1188777,0.17480390334755627,-0.06747638326585204,48.11230365325036,1188777,0.4262780065813323,-0.108108108108107,48.22014557818666,1188777,0.8746967171875624,0.0,49.262645559259646,1188777,1.9535170173764673,0.1865671641791078,50.51170279346151,1188776
