factor,quantile,regime,sample_count,avg_1d,med_1d,winrate_1d,count_1d,avg_3d,med_3d,winrate_3d,count_3d,avg_5d,med_5d,winrate_5d,count_5d,avg_10d,med_10d,winrate_10d,count_10d,avg_20d,med_20d,winrate_20d,count_20d
大单净流入,Q1_top,all,748059,0.0008519419621248271,-0.09456264775413725,46.98276035161976,747057,0.0588573958407556,-0.3248730964466984,45.915246070403235,745051,0.13003797995668198,-0.454545454545463,45.768206911587775,743042,0.3416851167853398,-0.6877841896098968,45.79367832289115,738032,0.8212601260992777,-1.1415525114155223,45.330932247625014,728004
大单净流入,Q2,all,747601,0.10675156978868207,0.0,48.76667229218402,746598,0.3158076139128247,0.0,48.92263434838315,744594,0.5115392434396717,0.0,49.32789291533686,742590,0.9584889015636071,0.09510225640616543,50.23427840083299,737584,1.799223171617585,0.22684310018903364,50.69924831664988,727567
大单净流入,Q3,all,747939,0.12942855500741982,0.0,49.727085416842385,746937,0.39216823330967776,0.11286681715576563,50.725233007532225,744933,0.6388723721688828,0.18652367532964176,51.272794818368304,742932,1.2066131548642107,0.4555808656036442,52.66836783783674,737923,2.2383143172863624,0.8474576271186418,53.58799285616156,727900
大单净流入,Q4,all,747259,0.10302272928306618,0.0,48.68215641528321,746257,0.3483727181731482,0.0,49.898287139302276,744252,0.5820654441951346,0.09784735812132794,50.42149042030483,742247,1.1270319262586481,0.3412969283276279,51.86113070370572,737240,2.108917045503946,0.6896551724137945,52.82245699725393,727221
大单净流入,Q5_bot,all,747914,0.07311936365872032,-0.1814882032667886,45.46986919441432,746910,0.17984262677749116,-0.33057851239668423,45.73736446221857,744903,0.27207618802960376,-0.4385527801964495,45.81691111541858,742896,0.5211465149384881,-0.5917159763313529,46.25136203223341,737868,1.0992831151654163,-0.8293321693583655,46.43049000817482,727845
大单净流入,Q1_top,bull,440417,0.041349406014268675,-0.06265664160401974,47.57416110055415,439415,0.11213520615766764,-0.32809936723693367,45.96567514614468,437409,0.14381559553037984,-0.45662100456620447,45.86747818098301,435400,0.26041843493553724,-0.7409139274565602,45.631171727967654,430390,0.40082438670987425,-1.3710022942753697,44.438840808636364,420362
大单净流入,Q2,bull,440140,0.1486015178840966,0.0,49.67265340884507,439137,0.3814778534373093,0.0,49.29140559051822,437133,0.5339330588280503,0.0,49.937604710327285,435129,0.9538437735723804,0.17346053772768766,50.70084603706382,430123,1.576075680142656,0.16694490818029983,50.460477925861746,420107
大单净流入,Q3,bull,440183,0.1692293939582088,0.07658922644881994,50.74012764668782,439181,0.45845798993514303,0.14880952380953438,51.213581684306355,437177,0.6621525369901737,0.26522854066384216,52.0683585491847,435176,1.2435556372324819,0.5444646098003769,53.27558831802533,430167,2.1518622040299724,0.8748302180459522,53.70206405422903,420144
大单净流入,Q4,bull,440114,0.13725671790853797,0.0,49.50490990908925,439112,0.3992142332350457,0.05005005005003227,50.13852443452061,437107,0.5748810136214622,0.14641288433382416,50.85037531429412,435102,1.1212437875116281,0.3957037874505298,52.19637521942827,430095,1.9713581207424444,0.6690997566910051,52.7410450941137,420077
大单净流入,Q5_bot,bull,440337,0.1211725164379474,-0.16638935108153063,45.89616532334243,439333,0.2550830753825561,-0.3231419388717238,45.911745471341746,437326,0.2674207968484555,-0.4460303300624524,45.898065556522916,435319,0.43883631524375377,-0.6211180124223614,46.1873476321838,430291,0.7512924050803921,-1.0000000000000009,45.79672970580677,420268
大单净流入,Q1_top,bear,307642,-0.05699189329597641,-0.13306719893545482,46.13804357012371,307642,-0.01689361908214249,-0.3205128205128305,45.84354541967612,307642,0.11053877691942453,-0.4519970454884781,45.62771013060635,307642,0.4553768987960419,-0.6173536687052228,46.02102443749553,307642,1.3957434810417382,-0.8229041901384127,46.549885906345686,307642
大单净流入,Q2,bear,307461,0.04697858831533735,0.0,47.47268759289796,307461,0.22244088182629473,0.0,48.39833344716891,307461,0.47984677351298277,-0.05562766549230824,48.465008570192644,307461,0.9649872099245718,0.0,49.58157294746325,307461,2.104127299637678,0.3086896199482436,51.025499251935216,307460
大单净流入,Q3,bear,307756,0.07263105227393486,0.0,48.281430743836026,307756,0.2980015657800405,0.0345423308210302,50.03151847567554,307756,0.6059535370973651,0.060721090953608226,50.14784439620998,307756,1.1549766739737903,0.3327391609674657,51.81962333796905,307756,2.3563374806755193,0.8098656633653945,53.4322645212441,307756
大单净流入,Q4,bear,307145,0.05407986772481788,0.0,47.505901121620084,307145,0.27601867651803164,0.0,49.55639844373179,307145,0.592242917738464,0.0,49.81393153071025,307145,1.1351370542418469,0.26800670016751127,51.391687964967694,307145,2.297054663158977,0.7159904534606243,52.93380303701195,307144
大单净流入,Q5_bot,bear,307577,0.004481800479561415,-0.20202020202019222,44.860961645376605,307577,0.07286257161517867,-0.340136054421758,45.48942216095482,307577,0.27866504296214517,-0.42735042735041473,45.70205184392851,307577,0.6362960161588226,-0.5535055350553542,46.34091625836783,307577,1.5747717236960066,-0.6036217303822755,47.29644934439181,307577
小单净流入,Q1_top,all,748060,0.07351102390412571,-0.1813236627379866,45.617524814103376,747055,0.18265185976387674,-0.33462033462033913,45.80100315819002,745047,0.2768716111717989,-0.444938820912133,45.82261717787943,743037,0.5304696579376996,-0.5964214711729698,46.32575218660867,738015,1.1203674450495693,-0.8238276299112779,46.49714076135557,727991
小单净流入,Q2,all,747597,0.10775465701027098,0.0,48.630649816835096,746595,0.3535778482638267,0.0,49.7039314200682,744591,0.5791521230224593,0.05202913631634498,50.11069395142393,742588,1.1249754878318325,0.287356321839094,51.47252222815757,737578,2.110769536005895,0.6109979633401208,52.44460265929227,727562
小单净流入,Q3,all,747612,0.12352417557665023,0.0,49.61479219405044,746610,0.37329774839025576,0.10745947968325842,50.66558690099193,744606,0.612910607404668,0.17953321364452268,51.17875904083339,742603,1.1758930748045993,0.4449388209121219,52.62521403964495,737597,2.2040175755408153,0.8319467554076532,53.5475234270415,727578
小单净流入,Q4,all,747586,0.10234002221500885,0.0,48.679050180555706,746584,0.3124070192622823,0.0,49.01669529574351,744581,0.5117261159242386,0.0,49.54644373101205,742576,0.9585825789950212,0.13357079252003246,50.439215526767136,737565,1.7790013309768806,0.273972602739736,50.914863787558076,727540
小单净流入,Q5_bot,all,747917,0.006039880187252605,-0.09124087591242391,47.08715181781059,746915,0.0731023177108554,-0.31525851197982124,46.01185649771515,744908,0.15391635529619616,-0.4353548648374894,45.94906737487936,742903,0.3650326633417918,-0.6622516556291425,45.94629024301659,737892,0.8528205543925026,-1.1093502377179099,45.46702277617034,727866
小单净流入,Q1_top,bull,440417,0.12090139458593713,-0.16286644951140072,46.109801279892224,439412,0.24722134447163333,-0.3337876556781416,45.90424413128367,437404,0.2563888276654349,-0.4511278195488799,45.910830190586,435394,0.44319965192376004,-0.6146170395544048,46.299248092348016,430372,0.7802746207282325,-0.969827586206895,45.92731278057043,420349
小单净流入,Q2,bull,440138,0.14524541874904337,0.0,49.47601654157254,439136,0.4059927653101445,0.0,49.870977187668714,437132,0.5767928129137097,0.11547344110853786,50.56707321277138,435129,1.1225484153376617,0.3429355281207247,51.802873158358494,430119,1.9694609710197717,0.6072874493926905,52.43761648928953,420103
小单净流入,Q3,bull,440166,0.16430776636336025,0.06981356648461112,50.60182528622564,439164,0.4466311749623936,0.14847809948033142,51.215115747094885,437160,0.6435109278329071,0.2617801047120505,52.034323244254374,435157,1.2160556071363608,0.5397301349325367,53.265481191488576,430151,2.11238404600472,0.8497024331497682,53.61838660230595,420132
小单净流入,Q4,bull,440131,0.14397622565453,0.0,49.6125284369741,439129,0.38089552722691056,0.0,49.48138522988795,437126,0.5300675287403618,0.04557885141294182,50.074576956754555,435121,0.9526629341372529,0.1931200993735116,50.83234521401502,430110,1.5470541762675425,0.19900497512437276,50.605352237399,420086
小单净流入,Q5_bot,bull,440339,0.04316562875663227,-0.06577216521967966,47.58807020578736,439337,0.12560294356699656,-0.31948881789136685,46.0492076921318,437330,0.1754182696124482,-0.4384362440628453,46.03503129845517,435325,0.2833962748701849,-0.7194244604316613,45.7912129282338,430314,0.4421493563338777,-1.3405788497074134,44.55016560073093,420288
